"","x"
"1","Mnov_gtseq_111"
"2","Mnov_gtseq_118"
"3","Mnov_gtseq_12"
"4","Mnov_gtseq_143"
"5","Mnov_gtseq_145"
"6","Mnov_gtseq_147"
"7","Mnov_gtseq_149"
"8","Mnov_gtseq_155"
"9","Mnov_gtseq_158"
"10","Mnov_gtseq_162"
"11","Mnov_gtseq_170"
"12","Mnov_gtseq_187"
"13","Mnov_gtseq_195"
"14","Mnov_gtseq_2"
"15","Mnov_gtseq_218"
"16","Mnov_gtseq_227"
"17","Mnov_gtseq_235"
"18","Mnov_gtseq_248"
"19","Mnov_gtseq_251"
"20","Mnov_gtseq_255"
"21","Mnov_gtseq_284"
"22","Mnov_gtseq_30"
"23","Mnov_gtseq_323"
"24","Mnov_gtseq_328"
"25","Mnov_gtseq_379"
"26","Mnov_gtseq_380"
"27","Mnov_gtseq_394"
"28","Mnov_gtseq_445"
"29","Mnov_gtseq_451"
"30","Mnov_gtseq_461"
"31","Mnov_gtseq_468"
"32","Mnov_gtseq_472"
"33","Mnov_gtseq_504"
"34","Mnov_gtseq_545"
"35","Mnov_gtseq_550"
"36","Mnov_gtseq_67"
