LABID,Concentration,Dried.down
195668,43.25,
195669,48.27,
195670,42.12,
195671,41.51,
195672,27.34,
195673,19.1,
195674,37.85,
195675,9.44,
195677,16.11,
195678,34.44,
195679,46.84,
195680,35.51,
195681,44.33,
195682,45.31,
195684,35.35,
195685,11.84,
195686,58.02,
195687,60.5,
195689,48.89,
195690,43.23,
195693,69.87,
195694,32.73,
195695,64.76,
195696,297.48,
195697,251.79,
195700,225,
195702,132.36,
195703,95.04,
195705,84.73,
195706,143.66,
195707,171.28,
195708,133.78,
195709,124.42,
195710,265.34,
195711,123.37,
195712,119.3,
195713,106.56,
195714,117.48,
195715,136.15,
195716,265.86,
195717,149.28,
195718,29.38,
195720,39.69,
195721,22.71,
195722,245.97,
195724,81.16,
195725,93.18,
195727,83.93,
195728,83.1,
195729,68.79,
195730,212.86,
195731,101.29,
195732,72.04,
195733,127.42,
195734,5.72,
195735,134,
195736,30.28,
195737,121.54,
195738,122.42,
195739,96.58,
195740,98.16,
195741,21.7,
195742,162.36,
195743,166.98,
195748,125.48,
195749,41.11,
195750,19.92,
195751,32.72,
195753,16.51,
195754,56.6,
195755,69.53,
195756,28.74,
195757,47.1,
195758,38.21,
195759,28.38,
195760,23.72,
195761,18.5,
195763,54.37,
195764,46.68,
195766,41.59,
195769,41.64,
195770,33.27,
195771,29.43,
195772,14.08,
195773,36.7,
195775,14.4,
195776,21.02,
195777,30.5,
195778,22.04,
195779,47.74,
195780,16.61,
195781,16.54,
195782,33.16,
195783,38.87,
195786,35.95,
195787,20.39,
195791,69.42,
196707,110.47,
196708,80.68,
196709,107.26,
196710,141.68,
196711,97.95,
196713,73.94,
196714,109.56,
196715,99.4,
196718,108.82,
196721,17.21,
196722,153.84,
196723,94.36,
196724,94.8,
196725,123.3,
196726,102.15,
196727,179.4,
196728,157.8,
196731,147.08,
196732,89.19,
196736,140.32,
196737,89.34,
196738,57.67,
196739,60.93,
196741,86.21,
196742,186.88,
196743,68.31,
196744,42.9,
196747,37.76,
196748,101.45,
196749,68.25,
196750,122.41,
196751,31,
196752,21.3,
196753,80.25,
196754,120.89,
196755,83.79,
196756,76.83,
196757,19.75,
196758,66.22,
196759,41.73,
196760,70.74,
196761,113.01,
196762,72.2,
196765,46.22,
196766,47.53,
196767,82.12,
196768,52.63,
196769,152.76,
196770,60.86,
196772,38.42,
196773,42.5,
196775,89.49,
196777,79.39,
196778,82.83,
196781,59.75,
196792,75.11,
196793,69.38,
196795,75.5,
196800,43.57,
196804,59.52,
196805,95.91,
196806,97.3,
196809,55.09,
196811,76.32,
196812,41.98,
196822,103.55,
196823,112.15,
196824,138.87,
196825,96.85,
196826,56.1,
196829,83.36,
196830,96.53,
196831,118.82,
196832,32.76,
196833,106.45,
196835,110.81,
196839,47.52,
196840,32.08,
196841,71.7,
196842,86.94,
196844,72.49,
196845,54.9,
196846,37.43,
196847,83.89,
196848,194.67,
196850,91.37,
196851,67.25,
196854,128.62,
196858,91.07,
196859,182.68,
196860,137.33,
196861,150.5,
196862,149.51,
196863,142.62,
196864,133.39,
196865,124.62,
196886,63.97,
196887,28.24,
196888,16.93,
196889,36.23,
196890,33.82,
196891,44.47,
196892,34.58,
196894,29.23,
196895,99.69,
197658,19.26,
197659,18.85,
197660,9.71,
197663,54.65,
197664,33.2,
197667,30.65,
197668,19.39,
197669,39.23,
197671,17.84,
197672,55.16,
197673,29.68,
197679,14.27,
197682,13.67,
12702,86.82,
18264,88.97,
40333,23.29,
40334,25.21,
40345,31.03,
40363,94.83,
40364,37.48,
40439,24.8,
40985,64.87,
41051,7.93,
43496,13.2,
43765,6.48,
43966,32.5,
47562,34.3,
47854,19,
51327,168.65,
51431,19.71,
51840,37.8,
53020,4.84,
53024,21.18,
53025,22.4,
53031,46.02,
53032,136.33,
53040,41.8,
53071,27.8,
53082,9.74,
53083,16.6,
53090,20.15,
53096,17.63,
53100,22.22,
53101,21.74,
53102,31.21,
53111,15.53,
53131,117.56,
53133,13.79,
53138,16.41,
53142,32.63,
53149,11.7,
53760,53.03,
53846,28.59,
53847,60.67,
55996,126.14,
55997,113.58,
55998,131.26,
56034,29.54,
56389,303.13,
56391,926.97,
63269,107.94,
63273,120.59,
63275,47.89,
63328,69.93,
63342,16.27,
66792,42.34,
66805,101.74,
75696,25.61,
187911,32.4,
195649,16.73,
195652,12.86,
195655,24.68,
195663,38.31,
195683,30.72,
195688,52.27,
195691,16.11,
195699,137.49,
195701,91.23,
195704,154.38,
195726,72.23,
195762,24.74,
195767,50.72,
195784,33.1,
196719,114.69,
196729,183.44,
196730,84.14,
196733,68.87,
196734,76.09,
196740,83.34,
196746,57.41,
196763,16.69,
196764,38.34,
196774,65.55,
196783,47.73,
196794,50.33,
196810,29.44,
196828,40.76,
196834,58.07,
196838,34.05,
196843,34.1,
196849,101.05,
196852,100.95,
196855,152.2,
196856,118.43,
196857,134.5,
197662,46.71,
197665,14.5,
