Run,Sam.file.name,LABID
RunMS436,196887_S788_L001_R1_001.fastq.gz.sam,z0196887
RunMS437,197665_S789_L001_R1_001.fastq.gz.sam,z0197665
RunMS438,197682_S790_L001_R1_001.fastq.gz.sam,z0197682
RunMS439,37609_S769_L001_R1_001.fastq.gz.sam,z037609
RunMS4310,40513_S770_L001_R1_001.fastq.gz.sam,z040513
RunMS4311,41051_S771_L001_R1_001.fastq.gz.sam,z041051
RunMS4312,43475_S772_L001_R1_001.fastq.gz.sam,z043475
RunMS4313,43498_S779_L001_R1_001.fastq.gz.sam,z043498
RunMS4314,43839_S773_L001_R1_001.fastq.gz.sam,z043839
RunMS4315,43979_S774_L001_R1_001.fastq.gz.sam,z043979
RunMS4316,43979b_S791_L001_R1_001.fastq.gz.sam,z043979
RunMS4317,43980_S775_L001_R1_001.fastq.gz.sam,z043980
RunMS4318,44432_S776_L001_R1_001.fastq.gz.sam,z044432
RunMS4319,45331_S777_L001_R1_001.fastq.gz.sam,z045331
RunMS4320,47854_S778_L001_R1_001.fastq.gz.sam,z047854
RunMS4321,53100_S780_L001_R1_001.fastq.gz.sam,z053100
RunMS4322,55931_S781_L001_R1_001.fastq.gz.sam,z055931
RunMS4323,56392_S782_L001_R1_001.fastq.gz.sam,z056392
RunMS4324,75696_S783_L001_R1_001.fastq.gz.sam,z075696
RunMS451,175371_S14_L001_001.fastq.sam,z0175371
RunMS452,175371b_S34_L001_001.fastq.sam,z0175371
RunMS453,187857_S15_L001_001.fastq.sam,z0187857
RunMS454,187857b_S35_L001_001.fastq.sam,z0187857
RunMS455,195776_S16_L001_001.fastq.sam,z0195776
RunMS456,195776b_S36_L001_001.fastq.sam,z0195776
RunMS457,195777_S17_L001_001.fastq.sam,z0195777
RunMS458,195777b_S37_L001_001.fastq.sam,z0195777
RunMS459,196887_S18_L001_001.fastq.sam,z0196887
RunMS4510,196887b_S38_L001_001.fastq.sam,z0196887
RunMS4511,197665_S19_L001_001.fastq.sam,z0197665
RunMS4512,197665b_S39_L001_001.fastq.sam,z0197665
RunMS4513,197682_S20_L001_001.fastq.sam,z0197682
RunMS4514,197682b_S40_L001_001.fastq.sam,z0197682
RunMS4515,40513_S1_L001_001.fastq.sam,z040513
RunMS4516,40513b_S21_L001_001.fastq.sam,z040513
RunMS4517,43475_S2_L001_001.fastq.sam,z043475
RunMS4518,43475b_S22_L001_001.fastq.sam,z043475
RunMS4519,43839_S3_L001_001.fastq.sam,z043839
RunMS4520,43839b_S23_L001_001.fastq.sam,z043839
RunMS4521,43980_S4_L001_001.fastq.sam,z043980
RunMS4522,43980b_S24_L001_001.fastq.sam,z043980
RunMS4523,45331_S5_L001_001.fastq.sam,z045331
RunMS4524,45331b_S25_L001_001.fastq.sam,z045331
RunMS4525,45401_S6_L001_001.fastq.sam,z045401
RunMS4526,45401b_S26_L001_001.fastq.sam,z045401
RunMS4527,45405_S7_L001_001.fastq.sam,z045405
RunMS4528,45405b_S27_L001_001.fastq.sam,z045405
RunMS4529,47854_S8_L001_001.fastq.sam,z047854
RunMS4530,47854b_S28_L001_001.fastq.sam,z047854
RunMS4531,53100_S9_L001_001.fastq.sam,z053100
RunMS4532,53100b_S29_L001_001.fastq.sam,z053100
RunMS4533,55903_S10_L001_001.fastq.sam,z055903
RunMS4534,55903b_S30_L001_001.fastq.sam,z055903
RunMS4535,55931_S11_L001_001.fastq.sam,z055931
RunMS4536,55931b_S31_L001_001.fastq.sam,z055931
RunMS4537,56392_S12_L001_001.fastq.sam,z056392
RunMS4538,56392b_S32_L001_001.fastq.sam,z056392
RunMS4539,75696_S13_L001_001.fastq.sam,z075696
RunMS4540,75696b_S33_L001_001.fastq.sam,z075696
