"","AnimalID","LABID","SEX","HAP","mito.haps","wint.area","feed.area","herd","HI.v.HI.SEAK","MnMx.v.MnMx.CA.OR.WA"
"424","z0195730","z0195730","F","E15",NA,NA,"CA.OR.WA",NA,NA,NA
"425","z0196749","z0196749","M","E15",NA,NA,"CA.OR.WA",NA,NA,NA
"426","z0195650","z0195650","F","E2",NA,NA,"CA.OR.WA",NA,NA,NA
"427","z0195693","z0195693","M","E2",NA,NA,"CA.OR.WA",NA,NA,NA
"428","z0196707","z0196707","F","E3",NA,NA,"CA.OR.WA",NA,NA,NA
"429","z0045352","z0045352","F","E4","MnMito22",NA,NA,NA,NA,NA
"430","z0195673","z0195673","F","E4",NA,NA,"CA.OR.WA",NA,NA,NA
"431","z0195682","z0195682","F","E4",NA,NA,"CA.OR.WA",NA,NA,NA
"432","z0196860","z0196860","M","E4",NA,NA,"CA.OR.WA",NA,NA,NA
"433","z0196738","z0196738","M","E5",NA,NA,"CA.OR.WA",NA,NA,NA
"434","z0196757","z0196757","F","E5",NA,NA,"CA.OR.WA",NA,NA,NA
"435","z0196800","z0196800","M","E5",NA,NA,"CA.OR.WA",NA,NA,NA
"436","z0196831","z0196831","F","E5",NA,NA,"CA.OR.WA",NA,NA,NA
"437","z0197679","z0197679","M","E5",NA,NA,"CA.OR.WA",NA,NA,NA
"438","z0195713","z0195713","F","E6",NA,NA,"CA.OR.WA",NA,NA,NA
"439","z0195739","z0195739","M","E6",NA,NA,"CA.OR.WA",NA,NA,NA
"440","z0196768","z0196768","M","E6",NA,NA,"CA.OR.WA",NA,NA,NA
"441","z0196723","z0196723","F","E7",NA,NA,"CA.OR.WA",NA,NA,NA
"442","z0196778","z0196778","M","E7",NA,NA,"CA.OR.WA",NA,NA,NA
"443","z0195706","z0195706","M","E8",NA,NA,"CA.OR.WA",NA,NA,NA
"444","z0196747","z0196747","M","F1",NA,NA,"CA.OR.WA",NA,NA,NA
"445","z0196891","z0196891","M","F1",NA,NA,"CA.OR.WA",NA,NA,NA
"446","z0195712","z0195712","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"447","z0195714","z0195714","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"448","z0195717","z0195717","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"449","z0195722","z0195722","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"450","z0195727","z0195727","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"451","z0195735","z0195735","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"452","z0195743","z0195743","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"453","z0195756","z0195756","M","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"454","z0195778","z0195778","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
"455","z0195791","z0195791","F","F2",NA,NA,"CA.OR.WA",NA,NA,NA
