"LABID","id","Duplicate1","Duplicate2","Duplicate3","X2019.herd","CentAm.Mmex","unmixed","CentAm.inclusive","All.samples","Haplogroup","CentAm.BakerMex","CentAm.AllMex","Herds.BakerMMex","Mmex.MartinezLoustalot","Mmex.REV","fine.herd","CRC.pure.herd","all.2021.data.herds","GTseq.stratum","in.gtseq","wint.area","feed.area","herd","HI.SEAK.v.HI"
101141,"z0101141",NA,NA,NA,"MixCB",NA,"CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
101184,"z0101184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
101189,"z0101189",NA,NA,NA,"MixCB",NA,"CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
107070,"z0107070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
107071,"z0107071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
107084,"z0107084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
107086,"z0107086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
107089,"z0107089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
107101,"z0107101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
108489,"z0108489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
108513,"z0108513","z0175346","z0196776",NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
133302,"z0133302",NA,NA,NA,"SMex",NA,"SMex",NA,"SMex","F",NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
173485,"z0173485",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
175912,"z0175912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
175916,"z0175916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
175937,"z0175937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
178294,"z0178294",NA,NA,NA,"MMex","MMex","MMex","MMex","MMex","F",NA,"MMex","MMex","MMex","MMex","CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
178305,"z0178305","z0107052",NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
178348,"z0178348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
187857,"z0187857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
187860,"z0187860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
187906,"z0187906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA.WA.SBCOC","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
195726,"z0195726","z0195744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA.OR","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196730,"z0196730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196733,"z0196733","z0196735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196746,"z0196746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196758,"z0196758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196783,"z0196783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196794,"z0196794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196804,"z0196804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196810,"z0196810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196811,"z0196811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
196838,"z0196838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
197662,"z0197662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
197665,"z0197665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
