LABID
40387
41174
41115
40960
40377
41026
40367
40308
40451
41274
40337
40964
40429
47613
47602
43302
43307
101088
107080
107078
107055
107073
108510
118457
25405
12701
55914
56023
55895
55930
55887
55896
55932
55986
55899
56006
55884
55963
56001
55915
55947
56010
56031
55909
55970
55924
55948
55990
56337
55959
55910
55928
55957
56012
55936
55965
56011
56029
55945
56089
56052
47587
43678
43627
43899
43713
47603
43238
32258
9880
30424
7446
143977
117063
56044
56045
56056
56057
56058
56059
56061
56062
56063
56064
56065
56066
56067
56069
56072
56073
56074
56076
56077
56079
56081
56083
56085
56087
56090
56092
56093
56095
56100
56102
56103
56104
56105
56106
56110
56111
