"","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","prod","val","MS43","MS45","MS51","MS54","times.run","genos.10readsMin","genos.20readsMin","OLD Include on 3rd MiSeq run","NEW Include on 3rd MiSeq run","Use as replicate (from previous PCR1)"
"18",51328,51328,"NA","NA","NA","NA","CentAm","M","F2","NA","NA","CentAm","NA","x","35.533332999999999","-121.366666","2005","BIOPSY-SWFSC-CSCAPE","NA","Added Nov 24","NA","NA","NA","Nico","z0051328",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,67,11,"No","Yes",NA
"19",53082,53082,"NA","NA","NA","NA","MnMx-SEAK","F","Aminus","NA","MnMx-SEAK","MnMx-SEAK","x","x","52.55","-131.183333","2004","BIOPSY-CANADA-SPLASH","Thomas Doniol-Valcroze","NA","NA","Yes, collaborator","NA","FIBB","z0053082",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,73,17,"Yes","Yes",NA
"20",51959,51959,"NA","NA","NA","NA","MnMx-CA/OR/WA/SBC","F","E7","NA","NA","MnMx-CA/OR/WA/SBC","NA","x","46.966665999999996","-124.8","2005","BIOPSY-CASCADIA","NA","Removed 1.20, was sub no longer needed; Added 1.12.22","NA","NA","NA","FIBB","z0051959",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,74,14,"Yes","Yes",NA
"21",195771,195771,"NA","NA","NA","NA","NA","M","Aplus","NA","CCES","NA","NA","x","42.4133","-124.50449999999999","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195771",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,80,20,"Yes","Yes",NA
"22",195772,195772,"NA","NA","NA","NA","NA","M","Aplus","NA","CCES","NA","NA","x","42.189700000000002","-124.4492","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195772",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,87,15,"Yes","Yes",NA
"23",195672,195672,"NA","NA","NA","NA","NA","F","E1_E11","NA","CCES","NA","NA","x","47.945399999999999","-125.5395","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195672",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,95,44,"Yes","Yes",NA
"24",29831,29831,"NA","NA","NA","MixSM","SMX","M","Aplus","MnMito03","mito","SMX","NA","x","44.25","-124.55","2002","BIOPSY-CASCADIA","John","NA","44503","Yes, collaborator","NA","Nico, FIBB","z0029831",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,98,7,"Yes","Yes",NA
"25",53055,53055,"NA","NA","NA","MixMB.WA","SMX","M","E1_E11","MnMito14","mito","SMX","NA","x","48.4","-125.66666600000001","2004","BIOPSY-CANADA-SPLASH","Thomas Doniol-Valcroze","NA","NA","Yes, collaborator","NA","Nico, FIBB","z0053055",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,100,45,"Yes","Yes",NA
"26",195691,195691,"NA","NA","NA","NA","MnMx-CA/OR/WA/SBC","M","E10","NA","CCES","MnMx-CA/OR/WA/SBC","x","x","47.441699999999997","-124.8711","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","FIBB","z0195691",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,102,18,"Yes","Yes",NA
"27",43627,43627,"NA","NA","NA","NA","MnMx-GOA","M","F2","NA","NA","MnMx-GOA","NA","x","57.033332999999999","-152.5","2004","BIOPSY-SWFSC-SPLASH","NA","bonus","NA","NA","NA","SPLASH match","z0043627",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,102,25,"Yes","NO",NA
"28",195751,195751,"NA","NA","NA","NA","MnMx-CA/OR/WA/SBC","F","F2","NA","CCES","MnMx-CA/OR/WA/SBC","NA","x","43.215299999999999","-124.5907","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","FIBB","z0195751",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,103,56,"Yes","Yes","x"
"29",56089,56089,"NA","NA","NA","NA","MnMx-GOA","F","Aplus","NA","NA","MnMx-GOA","NA","x","20.766666000000001","-105.566666","2004","SLOUGHED-MEXICO-SPLASH","NA","bonus","NA","NA","NA","SPLASH match","z0056089",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,105,18,"Yes","NO",NA
"30",45407,45407,"NA","NA","NA","MMex","MnMx-CA/OR/WA/SBC","F","E5","MnMito51","mito","MnMx-CA/OR/WA/SBC","NA","x","41.416665999999999","-124.45","2004","CASCADIA RESEARCH","John","NA","44503","Yes, collaborator","NA","Cascadia match pre-HW","z0045407",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,107,23,"Yes","Yes",NA
