z0005757.merged.sam,z0005757,NA
z0005758.merged.sam,z0005758,NA
z0016577.merged.sam,z0016577,NA
z0029828.merged.sam,z0029828,NA
z0029831.merged.sam,z0029831,NA
z0029860.merged.sam,z0029860,NA
z0029863.merged.sam,z0029863,NA
z0037611.merged.sam,z0037611,NA
z0040308.merged.sam,z0040308,NA
z0040387.merged.sam,z0040387,NA
z0041243.merged.sam,z0041243,NA
z0041248.merged.sam,z0041248,NA
z0041250.merged.sam,z0041250,NA
z0041274.merged.sam,z0041274,NA
z0041519.merged.sam,z0041519,NA
z0041526.merged.sam,z0041526,NA
z0043243.merged.sam,z0043243,NA
z0043278.merged.sam,z0043278,NA
z0043489.merged.sam,z0043489,NA
z0043494.merged.sam,z0043494,NA
z0043496.merged.sam,z0043496,NA
z0043498.merged.sam,z0043498,NA
z0043566.merged.sam,z0043566,NA
z0043599.merged.sam,z0043599,NA
z0043650.merged.sam,z0043650,NA
z0043668.merged.sam,z0043668,NA
z0043674.merged.sam,z0043674,NA
z0043686.merged.sam,z0043686,NA
z0043693.merged.sam,z0043693,NA
z0043704.merged.sam,z0043704,NA
z0043819.merged.sam,z0043819,NA
z0043994.merged.sam,z0043994,NA
z0044023.merged.sam,z0044023,NA
z0044033.merged.sam,z0044033,NA
z0044432.merged.sam,z0044432,NA
z0045347.merged.sam,z0045347,NA
z0045398.merged.sam,z0045398,NA
z0045407.merged.sam,z0045407,NA
z0046925.merged.sam,z0046925,NA
z0051326.merged.sam,z0051326,NA
z0051328.merged.sam,z0051328,NA
z0051380.merged.sam,z0051380,NA
z0051405.merged.sam,z0051405,NA
z0051875.merged.sam,z0051875,NA
z0051895.merged.sam,z0051895,NA
z0051918.merged.sam,z0051918,NA
z0051929.merged.sam,z0051929,NA
z0051959.merged.sam,z0051959,NA
z0053025.merged.sam,z0053025,NA
z0053055.merged.sam,z0053055,NA
z0053082.merged.sam,z0053082,NA
z0053096.merged.sam,z0053096,NA
z0053101.merged.sam,z0053101,NA
z0053133.merged.sam,z0053133,NA
z0053138.merged.sam,z0053138,NA
z0053149.merged.sam,z0053149,NA
z0053756.merged.sam,z0053756,NA
z0053757.merged.sam,z0053757,NA
z0053760.merged.sam,z0053760,NA
z0053842.merged.sam,z0053842,NA
z0053845.merged.sam,z0053845,NA
z0053846.merged.sam,z0053846,NA
z0056034.merged.sam,z0056034,NA
z0056064.merged.sam,z0056064,NA
z0056065.merged.sam,z0056065,NA
z0056069.merged.sam,z0056069,NA
z0056073.merged.sam,z0056073,NA
z0056374.merged.sam,z0056374,NA
z0056389.merged.sam,z0056389,NA
z0061527.merged.sam,z0061527,NA
z0061969.merged.sam,z0061969,NA
z0061982.merged.sam,z0061982,NA
z0066805.merged.sam,z0066805,NA
z0107078.merged.sam,z0107078,NA
z0108510.merged.sam,z0108510,NA
z0108513.merged.sam,z0108513,NA
z0113628.merged.sam,z0113628,NA
z0146087.merged.sam,z0146087,NA
z0175378.merged.sam,z0175378,NA
z0175912.merged.sam,z0175912,NA
z0175915.merged.sam,z0175915,NA
z0175916.merged.sam,z0175916,NA
z0175927.merged.sam,z0175927,NA
z0187811.merged.sam,z0187811,NA
