"","locus","genos","num.haps"
"168","Mnov_gtseq_333",107,3
"169","Mnov_gtseq_334",130,3
"170","Mnov_gtseq_335",131,3
"171","Mnov_gtseq_337",53,6
"172","Mnov_gtseq_338",118,3
"173","Mnov_gtseq_339",122,3
"174","Mnov_gtseq_340",107,3
"175","Mnov_gtseq_341",130,3
"176","Mnov_gtseq_342",86,3
"177","Mnov_gtseq_344",127,3
"178","Mnov_gtseq_345",125,3
"179","Mnov_gtseq_347",120,3
"180","Mnov_gtseq_350",37,3
"181","Mnov_gtseq_352",106,3
"182","Mnov_gtseq_353",118,3
"183","Mnov_gtseq_354",70,3
"184","Mnov_gtseq_355",25,3
"185","Mnov_gtseq_356",107,4
"186","Mnov_gtseq_357",96,3
"187","Mnov_gtseq_359",69,3
"188","Mnov_gtseq_360",90,4
"189","Mnov_gtseq_361",66,4
"190","Mnov_gtseq_363",116,4
"191","Mnov_gtseq_364",60,3
"192","Mnov_gtseq_366",118,3
"193","Mnov_gtseq_368",98,3
"194","Mnov_gtseq_37",117,3
"195","Mnov_gtseq_370",121,3
"196","Mnov_gtseq_371",89,3
"197","Mnov_gtseq_372",112,3
"198","Mnov_gtseq_373",105,3
"199","Mnov_gtseq_374",65,4
"200","Mnov_gtseq_376",122,1
"201","Mnov_gtseq_377",85,4
"202","Mnov_gtseq_378",126,3
"203","Mnov_gtseq_379",126,3
"204","Mnov_gtseq_38",127,3
"205","Mnov_gtseq_380",104,3
"206","Mnov_gtseq_383",111,3
"207","Mnov_gtseq_384",99,3
"208","Mnov_gtseq_386",79,3
"209","Mnov_gtseq_388",55,3
"210","Mnov_gtseq_39",128,3
"211","Mnov_gtseq_390",109,3
"212","Mnov_gtseq_391",96,3
"213","Mnov_gtseq_394",110,3
"214","Mnov_gtseq_397",112,3
"215","Mnov_gtseq_398",123,3
"216","Mnov_gtseq_399",128,3
"217","Mnov_gtseq_40",130,3
"218","Mnov_gtseq_400",75,3
"219","Mnov_gtseq_401",117,3
"220","Mnov_gtseq_402",109,3
"221","Mnov_gtseq_405",104,3
"222","Mnov_gtseq_406",100,3
"223","Mnov_gtseq_407",107,3
"224","Mnov_gtseq_41",111,3
"225","Mnov_gtseq_410",108,3
"226","Mnov_gtseq_413",131,2
"227","Mnov_gtseq_415",110,3
"228","Mnov_gtseq_416",91,2
"229","Mnov_gtseq_417",38,3
"230","Mnov_gtseq_42",129,3
"231","Mnov_gtseq_420",37,3
"232","Mnov_gtseq_421",73,6
"233","Mnov_gtseq_424",124,3
"234","Mnov_gtseq_426",132,2
"235","Mnov_gtseq_43",130,3
"236","Mnov_gtseq_431",109,3
"237","Mnov_gtseq_434",130,3
"238","Mnov_gtseq_438",50,3
"239","Mnov_gtseq_44",57,3
"240","Mnov_gtseq_440",121,3
"241","Mnov_gtseq_441",121,3
"242","Mnov_gtseq_442",13,3
"243","Mnov_gtseq_444",107,3
"244","Mnov_gtseq_445",107,3
"245","Mnov_gtseq_446",122,3
"246","Mnov_gtseq_447",126,3
"247","Mnov_gtseq_448",95,3
"248","Mnov_gtseq_45",124,3
"249","Mnov_gtseq_451",130,3
"250","Mnov_gtseq_452",116,4
"251","Mnov_gtseq_454",86,3
"252","Mnov_gtseq_46",122,3
"253","Mnov_gtseq_461",113,3
"254","Mnov_gtseq_462",92,3
"255","Mnov_gtseq_463",102,3
"256","Mnov_gtseq_465",59,4
"257","Mnov_gtseq_468",127,3
"258","Mnov_gtseq_47",116,3
"259","Mnov_gtseq_470",121,3
"260","Mnov_gtseq_471",47,2
"261","Mnov_gtseq_472",108,4
"262","Mnov_gtseq_473",119,3
"263","Mnov_gtseq_475",131,3
"264","Mnov_gtseq_477",103,4
"265","Mnov_gtseq_478",91,3
"266","Mnov_gtseq_479",129,3
"267","Mnov_gtseq_48",124,3
"268","Mnov_gtseq_50",128,3
"269","Mnov_gtseq_502",92,3
"270","Mnov_gtseq_504",123,3
"271","Mnov_gtseq_506",83,3
"272","Mnov_gtseq_507",121,3
"273","Mnov_gtseq_509",70,3
"274","Mnov_gtseq_51",109,3
"275","Mnov_gtseq_511",63,3
"276","Mnov_gtseq_513",115,3
"277","Mnov_gtseq_514",126,3
"278","Mnov_gtseq_515",119,3
"279","Mnov_gtseq_516",21,3
"280","Mnov_gtseq_517",99,3
"281","Mnov_gtseq_518",131,3
"282","Mnov_gtseq_520",102,3
"283","Mnov_gtseq_521",84,3
"284","Mnov_gtseq_522",120,3
"285","Mnov_gtseq_523",125,3
"286","Mnov_gtseq_526",66,3
"287","Mnov_gtseq_529",49,3
"288","Mnov_gtseq_53",129,3
"289","Mnov_gtseq_532",77,3
"290","Mnov_gtseq_533",119,3
"291","Mnov_gtseq_536",53,3
"292","Mnov_gtseq_539",97,3
"293","Mnov_gtseq_54",131,3
"294","Mnov_gtseq_541",129,3
"295","Mnov_gtseq_543",130,3
"296","Mnov_gtseq_544",130,3
"297","Mnov_gtseq_545",113,3
"298","Mnov_gtseq_546",109,3
"299","Mnov_gtseq_547",128,3
"300","Mnov_gtseq_548",119,3
"301","Mnov_gtseq_549",118,3
"302","Mnov_gtseq_55",114,3
"303","Mnov_gtseq_550",37,2
"304","Mnov_gtseq_553",63,3
