LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0043649,NA,275,NA,NA,NA,327,NA
z0043686b,NA,1,NA,NA,NA,NA,NA
z0043839,NA,2,122,278,NA,116,NA
z0043876,NA,312,NA,NA,NA,140,NA
z0043891,NA,257,NA,NA,NA,196,NA
z0043940,NA,37,NA,NA,NA,258,NA
z0043940b,NA,284,NA,NA,NA,NA,NA
z0043980b,NA,5,NA,NA,NA,NA,NA
z0044017,NA,168,NA,NA,NA,305,NA
z0044019,NA,1,NA,NA,NA,309,NA
z0044023,NA,234,NA,NA,NA,1,NA
z0044042,NA,1,NA,NA,NA,321,NA
z0044042b,NA,134,NA,NA,NA,NA,NA
z0044064,NA,283,NA,NA,NA,266,NA
z0045326,NA,266,NA,NA,NA,333,NA
z0045332b,NA,287,NA,NA,NA,NA,NA
z0045352,NA,221,NA,NA,NA,326,NA
z0045371,NA,245,NA,NA,NA,323,NA
z0045404,NA,1,NA,NA,NA,329,NA
z0045719,NA,226,NA,NA,NA,332,NA
z0045719b,NA,1,NA,NA,NA,NA,NA
z0045720,NA,196,NA,NA,NA,325,NA
z0045728,NA,279,NA,NA,NA,330,NA
z0045731,NA,298,NA,NA,NA,327,NA
z0045731b,NA,76,NA,NA,NA,NA,NA
z0045733,NA,194,NA,NA,NA,328,NA
z0045736,NA,1,NA,NA,NA,329,NA
z0045740,NA,192,NA,NA,NA,327,NA
z0045741,NA,5,NA,NA,NA,329,NA
z0045776,NA,198,NA,NA,NA,331,NA
z0045779,NA,291,NA,NA,NA,325,NA
z0045781,NA,110,NA,NA,NA,331,NA
z0045788,NA,317,NA,NA,NA,NA,NA
z0045788b,NA,256,NA,NA,NA,NA,NA
z0045789,NA,326,NA,NA,NA,NA,NA
z0045791,NA,319,NA,NA,NA,NA,NA
z0045793,NA,244,NA,NA,NA,330,NA
z0047603,NA,1,NA,NA,NA,1,NA
z0049019,NA,96,NA,NA,NA,322,NA
z0049020,NA,268,NA,NA,NA,328,NA
z0051185b,NA,267,NA,NA,NA,NA,NA
z0051380b,NA,248,NA,NA,NA,NA,NA
z0051400,NA,208,NA,NA,NA,329,NA
z0051400b,NA,311,NA,NA,NA,331,NA
z0051402,NA,277,NA,NA,NA,NA,NA
z0051816,NA,62,NA,NA,NA,NA,NA
z0051844,NA,263,NA,NA,NA,NA,NA
z0051939,NA,304,NA,NA,NA,NA,NA
z0052846,NA,1,NA,NA,NA,327,NA
z0052846b,NA,3,NA,NA,NA,NA,NA
z0053073,NA,255,NA,NA,NA,322,NA
z0053078,NA,264,NA,NA,NA,325,NA
z0053078b,NA,10,NA,NA,NA,308,NA
z0053103,NA,142,NA,NA,NA,327,NA
z0053759b,NA,310,NA,NA,NA,NA,NA
z0055903,NA,4,NA,309,NA,327,NA
z0055908,NA,21,NA,NA,NA,NA,NA
z0055909,NA,192,NA,NA,NA,NA,NA
z0055910,NA,245,NA,NA,NA,NA,NA
z0055912,NA,252,NA,NA,NA,310,NA
z0055912b,NA,156,NA,NA,NA,NA,NA
z0055916,NA,4,NA,NA,NA,294,NA
z0055932,NA,16,NA,NA,NA,NA,NA
z0055936,NA,126,NA,NA,NA,NA,NA
z0055944,NA,29,NA,NA,NA,320,NA
z0055947,NA,309,NA,NA,NA,NA,NA
z0055947b,NA,2,NA,NA,NA,NA,NA
z0055948,NA,135,NA,NA,NA,NA,NA
z0055957,NA,155,NA,NA,NA,NA,NA
