"","ids.1","z0067213","z0062886","z0032258","z0025439","z0017317","z0042288","z0030475","z0030424","z0012201"
"1","z0030475",1,0.991031390134529,0.916666666666667,NA,NA,0.862275449101796,NA,NA,NA
"2","z0062886",0.991666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"3","z0030424",0.898058252427185,0.900990099009901,0.981481481481482,NA,NA,0.93491124260355,0.902061855670103,NA,NA
"4","z0017317",0.880733944954128,0.881516587677725,0.931818181818182,0.978070175438597,NA,0.971751412429379,0.883838383838384,0.925373134328358,NA
"5","z0011162",0.880382775119617,0.883495145631068,0.933333333333333,0.977064220183486,0.97196261682243,0.960893854748603,0.883248730964467,0.92964824120603,0.918269230769231
"6","z0025439",0.88936170212766,0.89237668161435,0.930434782608696,NA,NA,0.966101694915254,0.888349514563107,0.923809523809524,NA
"7","z0012201",0.930131004366812,0.936363636363636,0.923423423423423,0.916299559471366,0.915094339622642,0.900584795321637,0.941463414634146,0.926470588235294,NA
"8","z0032258",0.906666666666667,0.912844036697248,NA,NA,NA,0.936781609195402,NA,NA,NA
"9","z0042288",0.864705882352941,0.868263473053892,NA,NA,NA,NA,NA,NA,NA
