"","locus","genos","num.haps"
"1","Mnov_gtseq_1",13,3
"2","Mnov_gtseq_10",10,2
"3","Mnov_gtseq_102",5,2
"4","Mnov_gtseq_104",13,2
"5","Mnov_gtseq_106",1,1
"6","Mnov_gtseq_107",0,0
"7","Mnov_gtseq_108",0,0
"8","Mnov_gtseq_111",0,0
"9","Mnov_gtseq_112",0,0
"10","Mnov_gtseq_113",5,2
"11","Mnov_gtseq_114",2,1
"12","Mnov_gtseq_117",0,0
"13","Mnov_gtseq_118",0,0
"14","Mnov_gtseq_12",9,3
"15","Mnov_gtseq_124",0,0
"16","Mnov_gtseq_125",1,1
"17","Mnov_gtseq_126",11,2
"18","Mnov_gtseq_127",1,1
"19","Mnov_gtseq_128",0,0
"20","Mnov_gtseq_129",1,1
"21","Mnov_gtseq_13",8,3
"22","Mnov_gtseq_130",0,0
"23","Mnov_gtseq_134",0,0
"24","Mnov_gtseq_135",3,2
"25","Mnov_gtseq_138",8,3
"26","Mnov_gtseq_140",14,3
"27","Mnov_gtseq_141",10,3
"28","Mnov_gtseq_143",10,3
"29","Mnov_gtseq_145",3,2
"30","Mnov_gtseq_146",0,0
"31","Mnov_gtseq_147",0,0
"32","Mnov_gtseq_148",0,0
"33","Mnov_gtseq_149",4,2
"34","Mnov_gtseq_15",11,3
"35","Mnov_gtseq_152",5,2
"36","Mnov_gtseq_154",0,0
"37","Mnov_gtseq_155",6,2
"38","Mnov_gtseq_157",8,3
"39","Mnov_gtseq_158",10,2
"40","Mnov_gtseq_159",1,1
"41","Mnov_gtseq_16",13,3
"42","Mnov_gtseq_160",3,3
"43","Mnov_gtseq_161",8,3
"44","Mnov_gtseq_162",8,3
"45","Mnov_gtseq_167",2,1
"46","Mnov_gtseq_168",0,0
"47","Mnov_gtseq_17",4,1
"48","Mnov_gtseq_170",8,3
"49","Mnov_gtseq_171",0,0
"50","Mnov_gtseq_173",0,0
"51","Mnov_gtseq_174",0,0
"52","Mnov_gtseq_177",0,0
"53","Mnov_gtseq_178",1,1
"54","Mnov_gtseq_180",0,0
"55","Mnov_gtseq_181",0,0
"56","Mnov_gtseq_182",4,1
"57","Mnov_gtseq_186",0,0
"58","Mnov_gtseq_187",1,1
"59","Mnov_gtseq_188",0,0
"60","Mnov_gtseq_189",3,2
"61","Mnov_gtseq_19",15,2
"62","Mnov_gtseq_190",13,3
"63","Mnov_gtseq_191",0,0
"64","Mnov_gtseq_192",0,0
"65","Mnov_gtseq_193",16,3
"66","Mnov_gtseq_195",14,3
"67","Mnov_gtseq_196",1,1
