"","ids.1","ids.2","strata.1","strata.2","mismatch.loci","num.loci.genotyped","num.loci.shared","prop.loci.shared"
"22","z0025439","z0030424","Default","Default","Mnov_gtseq_143, Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_209, Mnov_gtseq_232, Mnov_gtseq_261, Mnov_gtseq_291, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83, Mnov_gtseq_86",210,194,0.923809523809524
"23","z0012201","z0032258","Default","Default","Mnov_gtseq_130, Mnov_gtseq_205, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_83, Mnov_gtseq_84, Mnov_gtseq_86",222,205,0.923423423423423
"24","z0011162","z0012201","Default","Default","Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_415, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84, Mnov_gtseq_86",208,191,0.918269230769231
"25","z0030475","z0032258","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_84",204,187,0.916666666666667
"26","z0012201","z0025439","Default","Default","Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84, Mnov_gtseq_86",227,208,0.916299559471366
"27","z0012201","z0017317","Default","Default","Mnov_gtseq_10, Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_415, Mnov_gtseq_421, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84, Mnov_gtseq_86",212,194,0.915094339622642
"28","z0032258","z0062886","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_84",218,199,0.912844036697248
"29","z0032258","z0067213","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_84",225,204,0.906666666666667
"30","z0030424","z0030475","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_84, Mnov_gtseq_86",194,175,0.902061855670103
"31","z0030424","z0062886","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_84, Mnov_gtseq_86",202,182,0.900990099009901
