"","locus","genos","num.unique.genos"
"168","Mnov_gtseq_334",141,3
"169","Mnov_gtseq_335",139,3
"170","Mnov_gtseq_337",129,6
"171","Mnov_gtseq_338",139,3
"172","Mnov_gtseq_339",137,3
"173","Mnov_gtseq_340",133,3
"174","Mnov_gtseq_341",140,3
"175","Mnov_gtseq_342",136,3
"176","Mnov_gtseq_344",138,3
"177","Mnov_gtseq_345",137,3
"178","Mnov_gtseq_347",136,3
"179","Mnov_gtseq_350",125,3
"180","Mnov_gtseq_352",133,3
"181","Mnov_gtseq_353",133,3
"182","Mnov_gtseq_354",115,6
"183","Mnov_gtseq_355",86,5
"184","Mnov_gtseq_356",134,3
"185","Mnov_gtseq_357",139,3
"186","Mnov_gtseq_359",127,3
"187","Mnov_gtseq_360",103,3
"188","Mnov_gtseq_361",129,8
"189","Mnov_gtseq_363",116,3
"190","Mnov_gtseq_364",131,3
"191","Mnov_gtseq_366",140,6
"192","Mnov_gtseq_368",134,6
"193","Mnov_gtseq_37",141,10
"194","Mnov_gtseq_370",136,3
"195","Mnov_gtseq_371",125,6
"196","Mnov_gtseq_372",137,3
"197","Mnov_gtseq_373",135,3
"198","Mnov_gtseq_374",137,3
"199","Mnov_gtseq_377",131,3
"200","Mnov_gtseq_378",140,9
"201","Mnov_gtseq_379",140,3
"202","Mnov_gtseq_38",141,3
"203","Mnov_gtseq_380",135,3
"204","Mnov_gtseq_383",133,3
"205","Mnov_gtseq_384",142,3
"206","Mnov_gtseq_386",128,3
"207","Mnov_gtseq_388",115,3
"208","Mnov_gtseq_39",142,3
"209","Mnov_gtseq_390",134,3
"210","Mnov_gtseq_391",130,3
"211","Mnov_gtseq_394",141,3
"212","Mnov_gtseq_397",141,3
"213","Mnov_gtseq_398",137,5
"214","Mnov_gtseq_399",140,3
"215","Mnov_gtseq_40",136,3
"216","Mnov_gtseq_400",129,3
"217","Mnov_gtseq_401",138,6
"218","Mnov_gtseq_402",136,3
"219","Mnov_gtseq_404",100,2
"220","Mnov_gtseq_405",138,6
"221","Mnov_gtseq_406",130,3
"222","Mnov_gtseq_407",134,6
"223","Mnov_gtseq_41",141,3
"224","Mnov_gtseq_410",133,3
"225","Mnov_gtseq_413",141,2
"226","Mnov_gtseq_415",133,3
"227","Mnov_gtseq_416",87,2
"228","Mnov_gtseq_417",127,3
"229","Mnov_gtseq_42",141,3
"230","Mnov_gtseq_420",123,3
