"","CentAm","HI","MnMx","Rev","Shem","SMx"
"CentAm",NA,0.001,0.001,0.001,0.00100502512562814,0.012
"HI",0.00697458520188656,NA,0.001,0.002,0.00100200400801603,0.001
"MnMx",0.001853351399116,0.00452192543254177,NA,0.001,0.001,0.065
"Rev",0.00414835714155052,0.00206992087962528,0.00220417247640456,NA,0.00102774922918808,0.001
"Shem",0.0226816221989488,0.0273678234288435,0.0231983656894255,0.0247362298937911,NA,0.00100704934541793
"SMx",0.00110843715818589,0.0068667256998758,0.000623445818026076,0.00332604236358861,0.0228203135420189,NA
