"","locus","genos","num.haps"
"168","Mnov_gtseq_334",2,1
"169","Mnov_gtseq_335",2,1
"170","Mnov_gtseq_337",1,1
"171","Mnov_gtseq_338",1,1
"172","Mnov_gtseq_339",2,1
"173","Mnov_gtseq_340",2,1
"174","Mnov_gtseq_341",2,1
"175","Mnov_gtseq_342",1,1
"176","Mnov_gtseq_344",2,1
"177","Mnov_gtseq_345",2,1
"178","Mnov_gtseq_347",2,1
"179","Mnov_gtseq_350",1,1
"180","Mnov_gtseq_352",1,1
"181","Mnov_gtseq_353",1,1
"182","Mnov_gtseq_354",1,1
"183","Mnov_gtseq_355",1,1
"184","Mnov_gtseq_356",2,1
"185","Mnov_gtseq_357",2,1
"186","Mnov_gtseq_359",1,1
"187","Mnov_gtseq_360",1,1
"188","Mnov_gtseq_361",1,1
"189","Mnov_gtseq_363",0,0
"190","Mnov_gtseq_364",1,1
"191","Mnov_gtseq_366",1,1
"192","Mnov_gtseq_368",1,1
"193","Mnov_gtseq_37",2,1
"194","Mnov_gtseq_370",1,1
"195","Mnov_gtseq_371",1,1
"196","Mnov_gtseq_372",1,1
"197","Mnov_gtseq_373",1,1
"198","Mnov_gtseq_374",1,1
"199","Mnov_gtseq_376",2,1
"200","Mnov_gtseq_377",2,1
"201","Mnov_gtseq_378",3,1
"202","Mnov_gtseq_379",2,1
"203","Mnov_gtseq_38",2,1
"204","Mnov_gtseq_380",2,1
"205","Mnov_gtseq_383",1,1
"206","Mnov_gtseq_384",1,1
"207","Mnov_gtseq_386",1,1
"208","Mnov_gtseq_388",1,1
"209","Mnov_gtseq_39",2,1
"210","Mnov_gtseq_390",1,1
"211","Mnov_gtseq_391",1,1
"212","Mnov_gtseq_394",1,1
"213","Mnov_gtseq_397",1,1
"214","Mnov_gtseq_398",2,1
"215","Mnov_gtseq_399",1,1
"216","Mnov_gtseq_40",2,1
"217","Mnov_gtseq_400",1,1
"218","Mnov_gtseq_401",3,1
"219","Mnov_gtseq_402",1,1
"220","Mnov_gtseq_405",1,1
"221","Mnov_gtseq_406",1,1
"222","Mnov_gtseq_407",1,1
"223","Mnov_gtseq_41",3,2
"224","Mnov_gtseq_410",1,1
"225","Mnov_gtseq_413",3,2
"226","Mnov_gtseq_415",2,1
"227","Mnov_gtseq_416",0,0
"228","Mnov_gtseq_417",1,1
"229","Mnov_gtseq_42",2,1
"230","Mnov_gtseq_420",1,1
"231","Mnov_gtseq_421",1,1
