"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"1","Mnov_gtseq_1",300,3,2,1,1,1,1
"2","Mnov_gtseq_10",298,3,2,1,1,1,1
"3","Mnov_gtseq_102",297,3,2,1,1,1,1
"4","Mnov_gtseq_104",300,3,2,1,1,1,1
"5","Mnov_gtseq_106",269,3,2,2,1,1,1
"6","Mnov_gtseq_107",212,3,2,1,1,1,1
"7","Mnov_gtseq_112",299,3,2,1,1,1,1
"8","Mnov_gtseq_113",289,3,2,1,1,1,1
"9","Mnov_gtseq_114",290,5,2,2,1,1,1
"10","Mnov_gtseq_117",224,3,2,1,1,1,1
"11","Mnov_gtseq_118",277,3,2,1,1,1,1
"12","Mnov_gtseq_12",295,3,2,1,1,1,1
"13","Mnov_gtseq_124",266,6,2,2,2,1,1
"14","Mnov_gtseq_125",296,6,2,2,1,1,1
"15","Mnov_gtseq_126",299,3,2,1,1,1,1
"16","Mnov_gtseq_127",270,3,2,1,1,1,1
"17","Mnov_gtseq_128",213,3,2,1,1,1,1
"18","Mnov_gtseq_129",294,6,2,2,1,1,1
"19","Mnov_gtseq_13",300,6,2,2,1,1,1
"20","Mnov_gtseq_130",140,3,2,1,1,1,1
"21","Mnov_gtseq_135",296,3,2,2,1,1,1
"22","Mnov_gtseq_138",298,6,2,2,1,1,1
"23","Mnov_gtseq_140",297,3,2,1,1,1,1
"24","Mnov_gtseq_141",300,3,2,1,1,1,1
"25","Mnov_gtseq_143",291,3,2,1,1,1,1
"26","Mnov_gtseq_145",296,3,2,1,1,1,1
"27","Mnov_gtseq_147",230,6,2,2,1,1,1
"28","Mnov_gtseq_148",270,6,2,2,2,1,1
"29","Mnov_gtseq_149",297,3,2,1,1,1,1
"30","Mnov_gtseq_15",300,3,2,1,1,1,1
"31","Mnov_gtseq_152",297,3,2,1,1,1,1
"32","Mnov_gtseq_154",294,6,2,2,1,1,1
"33","Mnov_gtseq_157",299,3,2,1,1,1,1
"34","Mnov_gtseq_158",298,3,2,1,1,1,1
"35","Mnov_gtseq_159",220,6,2,2,1,1,1
"36","Mnov_gtseq_16",300,3,2,1,1,1,1
"37","Mnov_gtseq_160",296,3,2,1,1,1,1
"38","Mnov_gtseq_161",284,3,2,1,1,1,1
"39","Mnov_gtseq_162",292,6,2,2,1,1,1
"40","Mnov_gtseq_167",297,5,2,2,1,1,1
"41","Mnov_gtseq_17",299,3,2,1,1,1,1
"42","Mnov_gtseq_170",300,3,2,1,1,1,1
"43","Mnov_gtseq_171",223,6,2,2,1,1,1
"44","Mnov_gtseq_173",284,6,2,2,2,1,1
"45","Mnov_gtseq_174",292,3,2,1,1,1,1
"46","Mnov_gtseq_180",255,6,2,2,1,1,1
"47","Mnov_gtseq_181",103,6,2,2,1,1,1
"48","Mnov_gtseq_182",281,3,2,1,1,1,1
"49","Mnov_gtseq_186",224,5,2,2,1,1,1
"50","Mnov_gtseq_187",300,3,2,1,1,1,1
"51","Mnov_gtseq_188",261,3,2,1,1,1,1
"52","Mnov_gtseq_189",290,3,2,1,1,1,1
"53","Mnov_gtseq_19",300,6,2,2,1,1,1
"54","Mnov_gtseq_190",300,3,2,1,1,1,1
"55","Mnov_gtseq_191",219,3,2,1,1,1,1
"56","Mnov_gtseq_192",250,3,2,1,1,1,1
"57","Mnov_gtseq_193",300,3,2,1,1,1,1
"58","Mnov_gtseq_195",300,5,2,2,1,1,1
"59","Mnov_gtseq_196",299,3,2,1,1,1,1
"60","Mnov_gtseq_197",300,6,3,1,1,1,1
"61","Mnov_gtseq_2",300,6,2,2,1,1,1
"62","Mnov_gtseq_200",296,3,2,1,1,1,1
"63","Mnov_gtseq_201",300,10,2,2,2,1,1
"64","Mnov_gtseq_202",300,3,2,1,1,1,1
"65","Mnov_gtseq_204",295,3,2,1,1,1,1
"66","Mnov_gtseq_205",300,9,2,3,2,1,1
"67","Mnov_gtseq_208",300,3,2,1,1,1,1
"68","Mnov_gtseq_209",300,5,2,2,1,1,1
"69","Mnov_gtseq_21",300,3,2,1,1,1,1
"70","Mnov_gtseq_210",300,3,2,1,1,1,1
"71","Mnov_gtseq_211",297,3,2,1,1,1,1
"72","Mnov_gtseq_213",283,3,2,1,1,1,1
"73","Mnov_gtseq_214",279,3,2,1,1,1,1
"74","Mnov_gtseq_215",300,3,2,1,1,1,1
"75","Mnov_gtseq_216",300,4,2,2,1,1,1
"76","Mnov_gtseq_217",242,3,2,1,1,1,1
"77","Mnov_gtseq_218",298,3,2,1,1,1,1
"78","Mnov_gtseq_22",291,9,2,2,2,1,1
"79","Mnov_gtseq_220",299,5,2,2,1,1,1
"80","Mnov_gtseq_222",268,10,2,2,2,1,1
"81","Mnov_gtseq_223",299,3,2,1,1,1,1
"82","Mnov_gtseq_224",300,5,2,2,1,1,1
"83","Mnov_gtseq_225",299,3,2,1,1,1,1
"84","Mnov_gtseq_227",299,3,2,1,1,1,1
"85","Mnov_gtseq_229",298,3,2,1,1,1,1
"86","Mnov_gtseq_230",267,3,2,1,1,1,1
"87","Mnov_gtseq_232",300,3,2,1,1,1,1
"88","Mnov_gtseq_234",273,3,2,1,1,1,1
"89","Mnov_gtseq_235",300,3,2,1,1,1,1
"90","Mnov_gtseq_237",300,12,2,2,2,1,1
"91","Mnov_gtseq_238",300,3,2,1,1,1,1
"92","Mnov_gtseq_239",299,3,2,1,1,1,1
"93","Mnov_gtseq_240",300,3,2,1,1,1,1
"94","Mnov_gtseq_241",300,3,2,1,1,1,1
"95","Mnov_gtseq_243",300,3,2,1,1,1,1
"96","Mnov_gtseq_244",298,3,2,1,1,1,1
"97","Mnov_gtseq_245",274,3,2,1,1,1,1
"98","Mnov_gtseq_246",300,3,2,1,1,1,1
"99","Mnov_gtseq_247",295,3,2,1,1,1,1
"100","Mnov_gtseq_248",299,3,2,1,1,1,1
"101","Mnov_gtseq_25",299,3,2,1,1,1,1
"102","Mnov_gtseq_250",293,3,2,1,1,1,1
"103","Mnov_gtseq_251",298,3,2,1,1,1,1
"104","Mnov_gtseq_253",273,3,2,1,1,1,1
"105","Mnov_gtseq_254",299,3,2,1,1,1,1
"106","Mnov_gtseq_255",299,6,2,2,1,1,1
"107","Mnov_gtseq_257",300,3,2,1,1,1,1
"108","Mnov_gtseq_258",300,3,2,1,1,1,1
"109","Mnov_gtseq_26",300,3,2,1,1,1,1
"110","Mnov_gtseq_260",299,3,2,1,1,1,1
"111","Mnov_gtseq_261",300,6,2,2,2,1,1
"112","Mnov_gtseq_262",294,6,2,2,1,1,1
