,AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Status,Concentration,Dried.down
586,41501,41501,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.25,-136.233333,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041501,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,325,Complete,21.0216,NA
458,41507,41507,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,58.066666,-134.983333,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041507,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,304,Complete,21.8102,NA
650,41512,41512,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.2,-135.05,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,"PWF, Chris Gabriele",z0041512,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,337,335,Complete,10.3288,NA
12,41514,41514,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.183333,-135.05,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041514,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,13.0789,NA
263,41519,41519,NA,NA,NA,NA,HI/MnMx-SEAK,M,Aplus,NA,NA,HI/MnMx-SEAK,NA,x,57.333333,-134.683333,2004,BIOPSY-UAS-STRALEY,Jan Straley,Added 1.10.22,NA,NA,"Meagan Jones, Elizabeth Henderson (HI); FIBB for Mex",FIBB,z0041519,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,271,244,In.Progress,51.5952,NA
351,41522,41522,45761,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.566666,-135.383333,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041522,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,313,271,Complete,14.5605,NA
62,41526,41526,NA,NA,NA,NA,MnMx-SEAK,M,Aminus,NA,NA,MnMx-SEAK,NA,x,57.9,-136.6,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,"Nico, FIBB",z0041526,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,Abandoned,14.3848,NA
364,41527,41527,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.9,-136.583333,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041527,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,275,Complete,27.4214,NA
167,43243,43243,NA,NA,NA,NA,HI-AI.Ber,F,E5,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.183333,-166.25,2004,BIOPSY-AK-NGOS,Craig Matkin,NA,3-Nov-21,NA,NA,SPLASH match,z0043243,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,165,30,In.Progress,32.5594,NA
5,43267,43267,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,59.65,-149.716666,2004,BIOPSY-AK-NGOS,Craig Matkin,Added 1.10.22,3-Nov-21,NA,NA,SPLASH match,z0043267,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,10.0214,NA
234,43278,43278,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,59.8,-149.45,2004,BIOPSY-AK-NGOS,Craig Matkin,NA,3-Nov-21,NA,NA,SPLASH match,z0043278,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,252,125,In.Progress,10.6289,NA
13,43468,43468,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,56.45,-134.616666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,"Meagan Jons, HIHWNMS",NA,z0043468,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,23.0868,X
323,43475,43475,43479,NA,NA,NA,MnMx-SEAK,M,Aplus,NA,NA,MnMx-SEAK,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,Jorge,z0043475,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,303,268,Complete,20.9501,X
651,43477,43477,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,[no name] Displayed with permission from [**SPLASH project**],z0043477,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,337,336,Complete,122.648,NA
481,43478,43478,45722,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,Seen in NBC and SEAK,2-Nov-21,3-Nov-21,NA,"PWF, Chris Gabriele",z0043478,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,327,319,Complete,18.5623,NA
632,43481,43481,44043,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,[no name] Displayed with permission from [**SPLASH project**],z0043481,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,334,331,Complete,33.2616,NA
134,43487,43487,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0043487,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,70,6,Abandoned,17.5606,NA
138,43488,43488,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0043488,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,79,12,Abandoned,12.1759,NA
235,43489,43489,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,56.583333,-134.45,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0043489,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,253,129,In.Progress,12.8477,NA
334,43491,43491,NA,NA,NA,NA,HI-SEAK/NBC,F,Aplus,NA,NA,HI-SEAK/NBC,NA,x,57.116666,-134.683333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,[no name] Displayed with permission from [**SPLASH project**],z0043491,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,307,284,Complete,48.3732,NA
538,43493,43493,45759,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,57.116666,-134.683333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0043493,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,329,320,Complete,31.0365,NA
224,43494,43494,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.733333,-136.983333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,Wild Side Specialty Tours-PUBLIC,z0043494,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,242,137,In.Progress,11.1078,NA
206,40298,40298,43496,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,x,x,20.9,-156.783333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0043496,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,223,139,In.Progress,13.2,NA
168,43498,43498,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.75,-137.233333,2004,BIOPSY-SWFSC-SPLASH,Jay,Seen in NBC and SEAK,2-Nov-21,3-Nov-21,NA,PWF,z0043498,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,169,91,In.Progress,10.4722,NA
365,43504,43504,NA,NA,NA,NA,HI-SEAK/NBC,M,E2,NA,NA,HI-SEAK/NBC,NA,x,58.15,-137.183333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,Dan Salden-PUBLIC,z0043504,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,302,Complete,38.0378,NA
135,43513,43513,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.266666,-137.65,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0043513,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,71,14,Abandoned,11.4919,NA
429,43526,43526,NA,NA,NA,NA,REV-SEAK/NBC,M,Aminus,NA,NA,REV-SEAK/NBC,NA,x,58.266666,-138.133333,2004,BIOPSY-SWFSC-SPLASH,Jay,Added Nov 24,NA,NA,Pamela Martinez-Loustalot,NA,z0043526,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,316,Complete,122.498,NA
194,43566,43566,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,59.316666,-144.083333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043566,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,206,163,In.Progress,22.0957,NA
648,43572,43572,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,58.733333,-144.133333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043572,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,337,336,Complete,29.676,NA
158,43599,43599,NA,NA,NA,NA,HI-GOA,M,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,54.766666,-150.6,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043599,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,131,12,In.Progress,13.3999,NA
145,43627,43627,NA,NA,NA,NA,MnMx-GOA,M,F2,NA,NA,MnMx-GOA,NA,x,57.033333,-152.5,2004,BIOPSY-SWFSC-SPLASH,NA,bonus,NA,NA,NA,SPLASH match,z0043627,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,102,25,In.Progress,NA,NA
51,43631,43631,NA,NA,NA,NA,HI-GOA,M,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,57.033333,-152.5,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043631,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,Abandoned,12.8174,NA
43,43640,43640,NA,NA,NA,NA,REV-WGOA/NGOA,M,F2,NA,NA,REV-WGOA/NGOA,NA,x,57.033333,-152.5,2004,BIOPSY-SWFSC-SPLASH,NA,Added Nov 24,NA,NA,NA,SPLASH match,z0043640,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,12.6219,X
585,43642,43642,NA,NA,NA,NA,HI-GOA,M,F4,NA,HI.nonSEAK,HI-GOA,NA,x,56.816666,-151.983333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043642,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,329,Complete,82.8456,NA
534,43649,43649,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,56.933333,-151.833333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043649,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,329,325,Complete,22.5541,NA
239,43650,55889,43650,NA,NA,NA,Rev-WGOA/NGOA,M,A3,NA,X,Rev-WGOA/NGOA,NA,x,18.733333,-111,2004,BIOPSY-MEXICO-SPLASH,Jorge,NA,3-Nov-21,3-Nov-21,NA,SPLASH match,z0043650,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,254,195,In.Progress,9.20286,NA
535,43652,43652,NA,NA,NA,NA,HI-GOA,M,E1,NA,HI.nonSEAK,HI-GOA,NA,x,56.933333,-151.833333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043652,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,329,326,Complete,9.95022,NA
46,43666,55886,43666,NA,NA,NA,Rev-WGOA/NGOA,M,Aplus,NA,X,Rev-WGOA/NGOA,NA,x,18.75,-110.9,2004,BIOPSY-MEXICO-SPLASH,Jorge,NA,3-Nov-21,3-Nov-21,NA,SPLASH match,z0043666,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,18.9846,X
170,43668,43668,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,57.583333,-151.583333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043668,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,181,122,In.Progress,24.5876,NA
223,43674,43674,NA,NA,NA,NA,REV-WGOA/NGOA,F,E9,NA,NA,REV-WGOA/NGOA,NA,x,56.666666,-152.316666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043674,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,239,179,In.Progress,12.6031,NA
36,43678,43678,NA,NA,NA,NA,MnMx-GOA,F,E7,NA,NA,MnMx-GOA,NA,x,56.616666,-152.4,2004,BIOPSY-SWFSC-SPLASH,NA,bonus,NA,NA,NA,SPLASH match,z0043678,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,NA,NA
6,43684,43684,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,56.583333,-152.366666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043684,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,10.2815,X
123,43686,43686,NA,NA,NA,NA,HI-GOA,F,HET,NA,HI.nonSEAK,HI-GOA,NA,x,56.666666,-152.2,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043686,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,39,7,Abandoned,26.3422,NA
262,43693,43693,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,56.666666,-152.2,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043693,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,271,248,In.Progress,62.8794,NA
118,43704,43704,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,53.583333,-158.4,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043704,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,30,2,Abandoned,18.9531,NA
44,43716,43716,NA,NA,NA,NA,REV-WGOA/NGOA,M,A3,NA,NA,REV-WGOA/NGOA,NA,x,54.866666,-161.066666,2004,BIOPSY-SWFSC-SPLASH,NA,Added Nov 24,NA,NA,NA,SPLASH match,z0043716,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,14.2008,X
45,43724,43724,NA,NA,NA,NA,REV-WGOA/NGOA,M,E1,NA,NA,REV-WGOA/NGOA,NA,x,54.65,-161.633333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043724,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,10.5639,X
50,43747,43747,NA,NA,NA,NA,HI-AI.Ber,F,A3,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.05,-166.5,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043747,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,Abandoned,9.02909,NA
85,43789,43789,NA,NA,NA,NA,HI-AI.Ber,M,Aplus,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.5,-166.816666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043789,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4,0,Abandoned,9.22359,X
584,43807,43807,NA,NA,NA,NA,HI-AI.Ber,F,F2,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.833333,-167.216666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043807,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,324,Complete,17.757,X
175,43819,43819,NA,NA,NA,NA,HI-AI.Ber,M,Aminus,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.316666,-166.733333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043819,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,183,126,In.Progress,45.157,NA
305,43839,55941,43839,NA,NA,NA,REV-EAI/Ber,F,F2,NA,X,REV-EAI/Ber,NA,x,18.716666,-110.916666,2004,BIOPSY-MEXICO-SPLASH,Jorge,NA,3-Nov-21,3-Nov-21,NA,SPLASH match,z0043839,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,295,271,Complete,23.3113,NA
391,43876,43876,NA,NA,NA,NA,HI-AI.Ber,M,E1,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.433333,-166.466666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043876,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,321,304,Complete,62.4104,NA
290,43877,43877,NA,NA,NA,NA,HI-AI.Ber,F,F2,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.433333,-166.466666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043877,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,288,217,Complete,8.17886,NA
289,43891,43891,NA,NA,NA,NA,REV-WGOA/NGOA,F,E1,NA,NA,REV-WGOA/NGOA,NA,x,54.483333,-163.433333,2004,BIOPSY-SWFSC-SPLASH,NA,Added Nov 24,NA,NA,NA,SPLASH match,z0043891,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,287,255,Complete,35.4649,NA
92,43898,43898,NA,NA,NA,NA,HI-GOA,F,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,54.233333,-163.4,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043898,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,8,1,Abandoned,11.5177,NA
88,43904,43904,NA,NA,NA,NA,REV-WGOA/NGOA,M,E6,NA,NA,REV-WGOA/NGOA,NA,x,54.233333,-163.4,2004,BIOPSY-SWFSC-SPLASH,Jay,Added Nov 24,NA,NA,NA,SPLASH match,z0043904,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4,1,Abandoned,25.4468,NA
7,43905,43905,NA,NA,NA,NA,HI-GOA,F,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,54.233333,-163.4,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043905,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,9.22622,X
308,43915,43915,NA,NA,NA,NA,HI-AI.Ber,M,Aminus,NA,HI.nonSEAK,HI-AI.Ber,NA,x,53.616666,-165.55,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043915,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,297,217,Complete,10.893,NA
52,43934,43934,NA,NA,NA,NA,HI-GOA,M,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,57.033333,-156.166666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043934,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,Abandoned,21.3994,NA
340,43940,43940,NA,NA,NA,NA,HI-GOA,F,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,55.833333,-155.3,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043940,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,309,293,Complete,33.1246,NA
641,43954,43954,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,58.166666,-151.1,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043954,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,335,327,Complete,12.7158,NA
408,43966,43966,NA,NA,NA,NA,HI-GOA,F,Aplus,NA,HI.nonSEAK,HI-GOA,x,x,58.533333,-150.133333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043966,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,323,309,Complete,32.5,NA
81,43979,43979,NA,NA,NA,NA,REV-WGOA/NGOA,M,Aplus,NA,NA,REV-WGOA/NGOA,NA,x,58.2,-151.15,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043979,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,2,Abandoned,9.37647,NA
643,43980,43980,NA,NA,NA,NA,HI-GOA,F,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,58.2,-151.15,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043980,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,336,334,Complete,24.6479,NA
244,43994,43994,NA,NA,NA,NA,MnMx-SEAK,M,Aminus,NA,NA,MnMx-SEAK,NA,x,58.166666,-138.116666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,Mark OBrien-PUBLIC,z0043994,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,258,214,In.Progress,17.1381,NA
335,44017,44017,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.883333,-136.716666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0044017,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,307,285,Complete,27.9358,NA
341,44019,44019,NA,NA,NA,NA,HI-SEAK/NBC,F,Aplus,NA,NA,HI-SEAK/NBC,NA,x,57.883333,-136.716666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0044019,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,309,278,Complete,36.0547,NA
225,44023,44023,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.916666,-136.033333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0044023,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,244,207,In.Progress,122.824,NA
218,44033,44033,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.916666,-136.033333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,"PWF, Chris Gabriele",z0044033,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,237,172,In.Progress,14.9889,NA
409,44042,44042,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.516666,-135.566666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0044042,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,323,314,Complete,22.2753,NA
83,44044,44044,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.516666,-135.566666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,Chris Gabriele,z0044044,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,3,1,Abandoned,11.542,NA
282,44047,44047,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.516666,-135.566666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,Chris Gabriele,z0044047,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,283,242,Complete,12.6485,NA
125,44059,44059,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.9,-134.366666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,"Meagan Jones, Craig Hayslip",NA,z0044059,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,46,6,Abandoned,27.6704,NA
337,44064,44064,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,56.983333,-134.066666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,PWF,z0044064,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,308,281,Complete,39.8803,NA
