"","labID","genos","missing"
"266","z0196748",312,10
"267","z0196749",318,4
"268","z0196750",301,21
"269","z0196753",311,11
"270","z0196755",311,11
"271","z0196756",319,3
"272","z0196757",318,4
"273","z0196758",315,7
"274","z0196759",297,25
"275","z0196760",316,6
"276","z0196761",303,19
"277","z0196762",311,11
"278","z0196765",310,12
"279","z0196767",307,15
"280","z0196768",307,15
"281","z0196770",283,39
"282","z0196772",313,9
"283","z0196773",304,18
"284","z0196775",313,9
"285","z0196777",315,7
"286","z0196778",314,8
"287","z0196781",315,7
"288","z0196783",319,3
"289","z0196792",1,321
"290","z0196793",260,62
"291","z0196794",306,16
"292","z0196795",273,49
"293","z0196800",226,96
"294","z0196804",270,52
"295","z0196805",318,4
"296","z0196806",137,185
"297","z0196810",317,5
"298","z0196811",317,5
"299","z0196812",104,218
"300","z0196822",317,5
"301","z0196823",318,4
"302","z0196826",312,10
"303","z0196828",319,3
"304","z0196829",321,1
"305","z0196830",215,107
"306","z0196831",309,13
"307","z0196832",240,82
"308","z0196833",319,3
"309","z0196838",316,6
"310","z0196839",314,8
"311","z0196840",1,321
"312","z0196842",114,208
"313","z0196844",1,321
"314","z0196845",16,306
"315","z0196846",314,8
"316","z0196847",320,2
"317","z0196848",317,5
"318","z0196850",1,321
"319","z0196851",316,6
"320","z0196854",319,3
"321","z0196858",165,157
"322","z0196859",320,2
"323","z0196860",317,5
"324","z0196861",318,4
"325","z0196862",317,5
"326","z0196863",311,11
"327","z0196865",313,9
"328","z0196886",248,74
"329","z0196887",318,4
"330","z0196888",1,321
"331","z0196889",1,321
"332","z0196891",314,8
"333","z0196892",28,294
"334","z0196894",317,5
"335","z0197658",308,14
"336","z0197659",266,56
"337","z0197660",310,12
"338","z0197662",277,45
"339","z0197664",320,2
"340","z0197665",313,9
"341","z0197671",270,52
"342","z0197673",294,28
"343","z0197679",319,3
"344","z0197682",147,175
"345","z0207777",112,210
"346","z0207778",313,9
