"","stratum","HI","MnMx","CentAm","SMx","Rev"
"1","CentAm",0.0093750273176191,0.114289469013533,0.833845044081493,0.0409602679788861,0.00153019160846892
"2","HI",0.94064430605037,0.0172252041001141,0.0194125512779399,0.0010224128027355,0.021695525768841
"3","MnMx",0.0447716503726375,0.840581170679216,0.0839074681534239,0.0278680863557787,0.00287162443894391
"4","Rev",0.0952146432772157,0.024760439424649,0.0226256005560037,0.000854739256537045,0.856544577485595
"5","SMx",0.00652188262705152,0.113718208850841,0.0396204148221829,0.8388561315076,0.00128336219232464
