"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"95","Mnov_gtseq_243",476,3,2,1,1,1,1
"96","Mnov_gtseq_244",475,3,2,1,1,1,1
"97","Mnov_gtseq_245",431,3,2,1,1,1,1
"98","Mnov_gtseq_246",474,3,2,1,1,1,1
"99","Mnov_gtseq_247",466,3,2,1,1,1,1
"100","Mnov_gtseq_248",473,3,2,1,1,1,1
"101","Mnov_gtseq_25",475,3,2,1,1,1,1
"102","Mnov_gtseq_250",452,3,2,1,1,1,1
"103","Mnov_gtseq_251",474,3,2,1,1,1,1
"104","Mnov_gtseq_253",417,3,2,1,1,1,1
"105","Mnov_gtseq_254",476,3,2,1,1,1,1
"106","Mnov_gtseq_255",475,6,2,2,1,1,1
"107","Mnov_gtseq_257",476,3,2,1,1,1,1
"108","Mnov_gtseq_258",476,3,2,1,1,1,1
"109","Mnov_gtseq_26",476,3,2,1,1,1,1
"110","Mnov_gtseq_260",474,3,2,1,1,1,1
"111","Mnov_gtseq_261",476,6,2,2,2,1,1
"112","Mnov_gtseq_262",465,6,2,2,1,1,1
"113","Mnov_gtseq_263",476,3,2,1,1,1,1
"114","Mnov_gtseq_265",476,3,2,1,1,1,1
"115","Mnov_gtseq_268",476,3,2,1,1,1,1
"116","Mnov_gtseq_269",475,3,2,1,1,1,1
"117","Mnov_gtseq_270",406,3,2,1,1,1,1
"118","Mnov_gtseq_271",425,6,2,2,1,1,1
"119","Mnov_gtseq_273",468,3,2,1,1,1,1
"120","Mnov_gtseq_274",476,3,2,1,1,1,1
"121","Mnov_gtseq_275",393,5,2,2,1,1,1
"122","Mnov_gtseq_277",476,3,2,1,1,1,1
"123","Mnov_gtseq_278",474,3,2,1,1,1,1
"124","Mnov_gtseq_28",475,3,2,1,1,1,1
"125","Mnov_gtseq_281",464,4,2,2,1,1,1
"126","Mnov_gtseq_283",447,3,2,1,1,1,1
"127","Mnov_gtseq_284",476,3,2,1,1,1,1
"128","Mnov_gtseq_285",476,6,2,2,1,1,1
"129","Mnov_gtseq_287",476,3,2,1,1,1,1
"130","Mnov_gtseq_288",359,6,2,2,1,1,1
"131","Mnov_gtseq_289",476,9,2,3,1,1,1
"132","Mnov_gtseq_291",476,10,2,2,2,2,1
"133","Mnov_gtseq_297",476,3,2,1,1,1,1
"134","Mnov_gtseq_298",307,3,2,1,1,1,1
"135","Mnov_gtseq_299",476,3,2,1,1,1,1
"136","Mnov_gtseq_3",129,3,2,1,1,1,1
"137","Mnov_gtseq_30",370,3,2,1,1,1,1
"138","Mnov_gtseq_300",459,3,2,1,1,1,1
"139","Mnov_gtseq_305",413,3,2,1,1,1,1
"140","Mnov_gtseq_307",465,3,2,1,1,1,1
"141","Mnov_gtseq_308",476,3,2,1,1,1,1
"142","Mnov_gtseq_310",421,3,2,1,1,1,1
"143","Mnov_gtseq_311",457,3,2,1,1,1,1
"144","Mnov_gtseq_312",476,3,2,1,1,1,1
"145","Mnov_gtseq_313",468,3,2,1,1,1,1
"146","Mnov_gtseq_314",476,3,2,1,1,1,1
"147","Mnov_gtseq_315",472,3,2,1,1,1,1
"148","Mnov_gtseq_317",408,6,2,2,1,1,1
"149","Mnov_gtseq_318",474,3,2,1,1,1,1
"150","Mnov_gtseq_320",435,3,2,2,1,1,1
"151","Mnov_gtseq_321",476,3,2,1,1,1,1
"152","Mnov_gtseq_322",460,3,2,1,1,1,1
"153","Mnov_gtseq_323",476,6,2,2,1,1,1
"154","Mnov_gtseq_326",455,3,2,1,1,1,1
"155","Mnov_gtseq_327",456,3,2,1,1,1,1
"156","Mnov_gtseq_328",476,3,2,1,1,1,1
"157","Mnov_gtseq_33",476,3,2,1,1,1,1
"158","Mnov_gtseq_332",421,3,2,1,1,1,1
"159","Mnov_gtseq_333",472,3,2,1,1,1,1
"160","Mnov_gtseq_334",476,3,2,1,1,1,1
"161","Mnov_gtseq_335",476,3,2,1,1,1,1
"162","Mnov_gtseq_337",410,6,2,2,3,1,1
"163","Mnov_gtseq_338",475,3,2,1,1,1,1
"164","Mnov_gtseq_339",475,3,2,1,1,1,1
"165","Mnov_gtseq_340",463,3,2,1,1,1,1
"166","Mnov_gtseq_341",476,3,2,1,1,1,1
"167","Mnov_gtseq_342",461,3,2,1,1,1,1
"168","Mnov_gtseq_344",476,3,2,1,1,1,1
"169","Mnov_gtseq_345",476,3,2,1,1,1,1
"170","Mnov_gtseq_347",474,3,2,1,1,1,1
"171","Mnov_gtseq_350",320,3,2,1,1,1,1
"172","Mnov_gtseq_352",466,3,2,1,1,1,1
"173","Mnov_gtseq_353",470,3,2,1,1,1,1
"174","Mnov_gtseq_354",363,6,2,2,1,1,1
"175","Mnov_gtseq_356",457,3,2,1,1,1,1
"176","Mnov_gtseq_357",464,3,2,1,1,1,1
"177","Mnov_gtseq_359",401,3,2,2,1,1,1
"178","Mnov_gtseq_360",369,3,2,1,1,1,1
"179","Mnov_gtseq_361",411,9,2,2,2,2,1
"180","Mnov_gtseq_363",418,3,2,1,1,1,1
"181","Mnov_gtseq_364",430,3,2,1,1,1,1
