"","CentAm","HI","MnMx","Rev","Shem","SMx"
"CentAm",NA,0.001,0.001,0.001,0.001,0.003
"HI",1634.844936198,NA,0.001,0.001,0.001,0.001
"MnMx",767.664804062146,1338.22435516004,NA,0.001,0.001,0.028
"Rev",928.297481166384,735.073456136284,784.997227243382,NA,0.001,0.001
"Shem",1044.39371062339,1276.69176825194,1123.98469931952,1024.15432255913,NA,0.001
"SMx",607.370380154299,1243.46875216238,539.534387761308,832.826888844656,979.310658984586,NA
