"","Al.Ber","CA.OR.WA.SBC","GOA","SEAK.NBC"
"Al.Ber",NA,0.002,0.371371371371371,0.04
"CA.OR.WA.SBC",0.00302755915452004,NA,0.001,0.001
"GOA",0.000387295478994915,0.00163865615595782,NA,0.542
"SEAK.NBC",0.0021359579635344,0.00427628313334636,-7.66232796827308e-05,NA
