"","Var1","Freq"
"1","CentAm_|_CA.OR.WA",77
"2","HI_|_Al.Ber",11
"3","HI_|_GOA",21
"4","HI_|_NA",5
"5","HI_|_Rus",2
"6","HI_|_SEAK.NBC",76
"7","HI_|_WA.SBC",9
"8","HI/MnMx_|_SEAK.NBC",1
"9","MnMx_|_CA.OR.WA",89
"10","MnMx_|_NA",14
"11","MnMx_|_SEAK.NBC",10
"12","NA_|_CA.OR.WA",129
"13","NA_|_NA",17
"14","OG_|_Rus",1
"15","Rev_|_Al.Ber",2
"16","Rev_|_GOA",10
"17","Rev_|_NA",12
"18","Rev_|_SEAK.NBC",2
"19","Rev_|_WA.SBC",1
"20","Shem_|_NA",9
"21","SMx_|_CA.OR.WA",36
"22","SMx_|_WA.SBC",3
