"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"95","Mnov_gtseq_243",191,3,2,1,1,1,1
"96","Mnov_gtseq_244",190,3,2,1,1,1,1
"97","Mnov_gtseq_245",161,3,2,1,1,1,1
"98","Mnov_gtseq_246",189,3,2,1,1,1,1
"99","Mnov_gtseq_247",172,3,2,1,1,1,1
"100","Mnov_gtseq_248",190,3,2,1,1,1,1
"101","Mnov_gtseq_25",187,3,2,1,1,1,1
"102","Mnov_gtseq_250",161,3,2,1,1,1,1
"103","Mnov_gtseq_251",189,3,2,1,1,1,1
"104","Mnov_gtseq_253",144,3,2,1,1,1,1
"105","Mnov_gtseq_254",190,3,2,1,1,1,1
"106","Mnov_gtseq_255",191,6,2,2,1,1,1
"107","Mnov_gtseq_257",191,3,2,1,1,1,1
"108","Mnov_gtseq_258",191,3,2,1,1,1,1
"109","Mnov_gtseq_26",191,3,2,1,1,1,1
"110","Mnov_gtseq_260",190,3,2,1,1,1,1
"111","Mnov_gtseq_261",185,6,2,2,2,1,1
"112","Mnov_gtseq_262",179,6,2,2,1,1,1
"113","Mnov_gtseq_263",190,3,2,1,1,1,1
"114","Mnov_gtseq_265",191,3,2,1,1,1,1
"115","Mnov_gtseq_268",191,3,2,1,1,1,1
"116","Mnov_gtseq_269",188,3,2,1,1,1,1
"117","Mnov_gtseq_270",139,3,2,1,1,1,1
"118","Mnov_gtseq_271",150,6,2,2,1,1,1
"119","Mnov_gtseq_273",176,3,2,1,1,1,1
"120","Mnov_gtseq_274",191,3,2,1,1,1,1
"121","Mnov_gtseq_275",135,4,2,2,1,1,1
"122","Mnov_gtseq_277",191,3,2,1,1,1,1
"123","Mnov_gtseq_278",189,3,2,1,1,1,1
"124","Mnov_gtseq_28",191,3,2,1,1,1,1
"125","Mnov_gtseq_281",175,4,2,2,1,1,1
"126","Mnov_gtseq_283",157,3,2,1,1,1,1
"127","Mnov_gtseq_284",191,3,2,1,1,1,1
"128","Mnov_gtseq_285",191,6,2,2,1,1,1
"129","Mnov_gtseq_287",191,3,2,1,1,1,1
"130","Mnov_gtseq_288",112,4,2,2,1,1,1
"131","Mnov_gtseq_289",191,8,2,3,1,1,1
"132","Mnov_gtseq_291",191,8,2,2,2,2,1
"133","Mnov_gtseq_297",191,3,2,1,1,1,1
"134","Mnov_gtseq_298",98,3,2,1,1,1,1
"135","Mnov_gtseq_299",191,3,2,1,1,1,1
"136","Mnov_gtseq_3",49,3,2,1,1,1,1
"137","Mnov_gtseq_30",124,3,2,1,1,1,1
"138","Mnov_gtseq_300",186,3,2,1,1,1,1
"139","Mnov_gtseq_305",142,3,2,1,1,1,1
"140","Mnov_gtseq_307",183,3,2,1,1,1,1
"141","Mnov_gtseq_308",190,3,2,1,1,1,1
"142","Mnov_gtseq_310",147,3,2,1,1,1,1
"143","Mnov_gtseq_311",165,3,2,1,1,1,1
"144","Mnov_gtseq_312",185,3,2,1,1,1,1
"145","Mnov_gtseq_313",182,3,2,1,1,1,1
"146","Mnov_gtseq_314",191,3,2,1,1,1,1
"147","Mnov_gtseq_315",189,3,2,1,1,1,1
"148","Mnov_gtseq_317",142,5,2,2,1,1,1
"149","Mnov_gtseq_318",190,3,2,1,1,1,1
"150","Mnov_gtseq_320",152,3,2,2,1,1,1
"151","Mnov_gtseq_321",191,3,2,1,1,1,1
"152","Mnov_gtseq_322",175,3,2,1,1,1,1
"153","Mnov_gtseq_323",190,6,2,2,1,1,1
"154","Mnov_gtseq_326",167,3,2,1,1,1,1
"155","Mnov_gtseq_327",160,3,2,1,1,1,1
"156","Mnov_gtseq_328",191,3,2,1,1,1,1
"157","Mnov_gtseq_33",191,3,2,1,1,1,1
"158","Mnov_gtseq_332",152,3,2,1,1,1,1
"159","Mnov_gtseq_333",188,3,2,1,1,1,1
"160","Mnov_gtseq_334",191,3,2,1,1,1,1
"161","Mnov_gtseq_335",191,3,2,1,1,1,1
"162","Mnov_gtseq_337",141,6,2,2,3,1,1
"163","Mnov_gtseq_338",186,3,2,1,1,1,1
"164","Mnov_gtseq_339",191,3,2,1,1,1,1
"165","Mnov_gtseq_340",174,3,2,1,1,1,1
"166","Mnov_gtseq_341",191,3,2,1,1,1,1
"167","Mnov_gtseq_342",176,3,2,1,1,1,1
"168","Mnov_gtseq_344",191,3,2,1,1,1,1
"169","Mnov_gtseq_345",191,3,2,1,1,1,1
"170","Mnov_gtseq_347",182,3,2,1,1,1,1
"171","Mnov_gtseq_350",112,3,2,1,1,1,1
"172","Mnov_gtseq_352",180,3,2,1,1,1,1
"173","Mnov_gtseq_353",189,3,2,1,1,1,1
"174","Mnov_gtseq_354",127,6,2,2,1,1,1
"175","Mnov_gtseq_356",168,3,2,1,1,1,1
"176","Mnov_gtseq_357",171,3,2,1,1,1,1
"177","Mnov_gtseq_359",139,3,2,2,1,1,1
"178","Mnov_gtseq_360",135,3,2,1,1,1,1
"179","Mnov_gtseq_361",143,8,2,2,2,2,1
"180","Mnov_gtseq_363",174,3,2,1,1,1,1
"181","Mnov_gtseq_364",157,3,2,1,1,1,1
"182","Mnov_gtseq_366",191,6,2,2,1,1,1
"183","Mnov_gtseq_368",173,5,2,2,1,1,1
"184","Mnov_gtseq_37",188,10,2,2,1,1,1
"185","Mnov_gtseq_370",189,3,2,1,1,1,1
"186","Mnov_gtseq_371",156,6,2,2,1,1,1
"187","Mnov_gtseq_372",185,3,2,1,1,1,1
"188","Mnov_gtseq_373",163,3,2,1,1,1,1
"189","Mnov_gtseq_374",174,3,2,1,1,1,1
"190","Mnov_gtseq_377",153,3,2,1,1,1,1
