"","locus","genos","num.haps"
"168","Mnov_gtseq_335",19,2
"169","Mnov_gtseq_337",12,4
"170","Mnov_gtseq_338",17,3
"171","Mnov_gtseq_339",16,3
"172","Mnov_gtseq_340",14,3
"173","Mnov_gtseq_341",18,2
"174","Mnov_gtseq_342",12,3
"175","Mnov_gtseq_344",18,3
"176","Mnov_gtseq_345",19,3
"177","Mnov_gtseq_347",17,3
"178","Mnov_gtseq_350",3,2
"179","Mnov_gtseq_352",12,3
"180","Mnov_gtseq_353",13,3
"181","Mnov_gtseq_354",6,3
"182","Mnov_gtseq_355",1,1
"183","Mnov_gtseq_356",15,3
"184","Mnov_gtseq_357",15,3
"185","Mnov_gtseq_359",7,2
"186","Mnov_gtseq_360",6,1
"187","Mnov_gtseq_361",12,3
"188","Mnov_gtseq_363",15,3
"189","Mnov_gtseq_364",14,3
"190","Mnov_gtseq_366",17,3
"191","Mnov_gtseq_368",5,3
"192","Mnov_gtseq_37",17,3
"193","Mnov_gtseq_370",17,3
"194","Mnov_gtseq_371",6,3
"195","Mnov_gtseq_372",17,3
"196","Mnov_gtseq_373",7,3
"197","Mnov_gtseq_374",15,3
"198","Mnov_gtseq_376",14,1
"199","Mnov_gtseq_377",12,3
"200","Mnov_gtseq_378",18,3
"201","Mnov_gtseq_379",18,3
"202","Mnov_gtseq_38",18,2
"203","Mnov_gtseq_380",15,2
"204","Mnov_gtseq_383",15,2
"205","Mnov_gtseq_384",18,3
"206","Mnov_gtseq_386",9,3
"207","Mnov_gtseq_388",2,2
"208","Mnov_gtseq_39",19,3
"209","Mnov_gtseq_390",15,3
"210","Mnov_gtseq_391",12,1
"211","Mnov_gtseq_394",19,2
"212","Mnov_gtseq_397",19,2
"213","Mnov_gtseq_398",16,3
"214","Mnov_gtseq_399",19,3
"215","Mnov_gtseq_40",17,2
"216","Mnov_gtseq_400",9,3
"217","Mnov_gtseq_401",18,2
"218","Mnov_gtseq_402",16,3
"219","Mnov_gtseq_405",19,2
"220","Mnov_gtseq_406",11,3
"221","Mnov_gtseq_407",17,3
"222","Mnov_gtseq_41",17,3
"223","Mnov_gtseq_410",14,3
"224","Mnov_gtseq_413",19,2
"225","Mnov_gtseq_415",13,3
"226","Mnov_gtseq_416",10,2
"227","Mnov_gtseq_417",10,3
"228","Mnov_gtseq_42",19,3
"229","Mnov_gtseq_420",12,3
"230","Mnov_gtseq_421",7,4
"231","Mnov_gtseq_424",18,3
"232","Mnov_gtseq_426",19,2
"233","Mnov_gtseq_43",19,3
"234","Mnov_gtseq_431",4,2
"235","Mnov_gtseq_434",19,3
"236","Mnov_gtseq_438",8,2
"237","Mnov_gtseq_44",12,3
"238","Mnov_gtseq_440",17,3
"239","Mnov_gtseq_441",18,3
"240","Mnov_gtseq_442",8,2
"241","Mnov_gtseq_444",18,3
"242","Mnov_gtseq_445",18,3
"243","Mnov_gtseq_446",14,2
"244","Mnov_gtseq_447",15,3
"245","Mnov_gtseq_448",16,3
"246","Mnov_gtseq_45",16,2
"247","Mnov_gtseq_451",19,2
"248","Mnov_gtseq_452",17,2
"249","Mnov_gtseq_454",13,3
"250","Mnov_gtseq_46",17,2
"251","Mnov_gtseq_461",19,3
"252","Mnov_gtseq_462",14,2
"253","Mnov_gtseq_463",15,3
"254","Mnov_gtseq_465",3,2
"255","Mnov_gtseq_468",19,3
"256","Mnov_gtseq_47",17,3
"257","Mnov_gtseq_470",19,3
"258","Mnov_gtseq_471",9,3
"259","Mnov_gtseq_472",16,3
"260","Mnov_gtseq_473",14,3
