"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"95","Mnov_gtseq_243",546,3,2,1,1,1,1
"96","Mnov_gtseq_244",545,3,2,1,1,1,1
"97","Mnov_gtseq_245",440,3,2,1,1,1,1
"98","Mnov_gtseq_246",545,3,2,1,1,1,1
"99","Mnov_gtseq_247",527,3,2,1,1,1,1
"100","Mnov_gtseq_248",540,3,2,1,1,1,1
"101","Mnov_gtseq_25",545,3,2,1,1,1,1
"102","Mnov_gtseq_250",525,3,2,1,1,1,1
"103","Mnov_gtseq_251",539,3,2,1,1,1,1
"104","Mnov_gtseq_253",465,3,2,1,1,1,1
"105","Mnov_gtseq_254",546,3,2,1,1,1,1
"106","Mnov_gtseq_255",545,6,2,2,1,1,1
"107","Mnov_gtseq_257",546,3,2,1,1,1,1
"108","Mnov_gtseq_258",546,3,2,1,1,1,1
"109","Mnov_gtseq_26",546,3,2,1,1,1,1
"110","Mnov_gtseq_260",544,3,2,1,1,1,1
"111","Mnov_gtseq_261",540,9,2,2,2,1,1
"112","Mnov_gtseq_262",526,6,2,2,1,1,1
"113","Mnov_gtseq_263",541,3,2,1,1,1,1
"114","Mnov_gtseq_265",546,3,2,1,1,1,1
"115","Mnov_gtseq_268",540,3,2,1,1,1,1
"116","Mnov_gtseq_269",540,3,2,1,1,1,1
"117","Mnov_gtseq_270",489,4,3,1,1,1,1
"118","Mnov_gtseq_271",491,5,2,2,1,1,1
"119","Mnov_gtseq_273",536,3,2,1,1,1,1
"120","Mnov_gtseq_274",536,3,2,1,1,1,1
"121","Mnov_gtseq_275",478,5,2,2,1,1,1
"122","Mnov_gtseq_277",546,3,2,1,1,1,1
"123","Mnov_gtseq_278",538,3,2,1,1,1,1
"124","Mnov_gtseq_28",545,3,2,1,1,1,1
"125","Mnov_gtseq_281",539,5,2,2,1,1,1
"126","Mnov_gtseq_283",441,3,2,1,1,1,1
"127","Mnov_gtseq_284",546,3,2,1,1,1,1
"128","Mnov_gtseq_285",546,6,2,2,1,1,1
"129","Mnov_gtseq_287",539,3,2,1,1,1,1
"130","Mnov_gtseq_288",470,6,2,2,1,1,1
"131","Mnov_gtseq_289",546,10,2,4,1,1,1
"132","Mnov_gtseq_291",543,11,2,2,2,2,1
"133","Mnov_gtseq_297",546,3,2,1,1,1,1
"134","Mnov_gtseq_298",355,3,2,1,1,1,1
"135","Mnov_gtseq_299",542,3,2,1,1,1,1
"136","Mnov_gtseq_3",156,3,2,1,1,1,1
"137","Mnov_gtseq_30",472,3,2,1,1,1,1
"138","Mnov_gtseq_300",516,3,2,1,1,1,1
"139","Mnov_gtseq_305",506,3,2,1,1,1,1
"140","Mnov_gtseq_307",537,3,2,1,1,1,1
"141","Mnov_gtseq_308",536,3,2,1,1,1,1
"142","Mnov_gtseq_310",498,3,2,1,1,1,1
"143","Mnov_gtseq_311",539,3,2,1,1,1,1
"144","Mnov_gtseq_312",546,3,2,1,1,1,1
"145","Mnov_gtseq_313",543,3,2,1,1,1,1
"146","Mnov_gtseq_314",546,3,2,1,1,1,1
"147","Mnov_gtseq_315",537,3,2,1,1,1,1
"148","Mnov_gtseq_317",416,6,2,2,1,1,1
"149","Mnov_gtseq_318",519,3,2,1,1,1,1
"150","Mnov_gtseq_320",513,4,2,2,1,1,1
"151","Mnov_gtseq_321",546,3,2,1,1,1,1
"152","Mnov_gtseq_322",537,3,2,1,1,1,1
"153","Mnov_gtseq_323",546,6,2,2,1,1,1
"154","Mnov_gtseq_326",532,3,2,1,1,1,1
"155","Mnov_gtseq_327",533,3,2,1,1,1,1
"156","Mnov_gtseq_328",544,3,2,1,1,1,1
"157","Mnov_gtseq_33",546,3,2,1,1,1,1
"158","Mnov_gtseq_332",494,3,2,1,1,1,1
"159","Mnov_gtseq_333",529,3,2,1,1,1,1
"160","Mnov_gtseq_334",546,3,2,1,1,1,1
"161","Mnov_gtseq_335",540,3,2,1,1,1,1
"162","Mnov_gtseq_337",473,8,2,2,3,1,1
"163","Mnov_gtseq_338",545,3,2,1,1,1,1
"164","Mnov_gtseq_339",545,3,2,1,1,1,1
"165","Mnov_gtseq_340",537,3,2,1,1,1,1
"166","Mnov_gtseq_341",541,3,2,1,1,1,1
"167","Mnov_gtseq_342",477,3,2,1,1,1,1
"168","Mnov_gtseq_344",546,3,2,1,1,1,1
"169","Mnov_gtseq_345",545,3,2,1,1,1,1
"170","Mnov_gtseq_347",546,3,2,1,1,1,1
"171","Mnov_gtseq_350",380,3,2,1,1,1,1
"172","Mnov_gtseq_352",532,3,2,1,1,1,1
"173","Mnov_gtseq_353",539,3,2,1,1,1,1
"174","Mnov_gtseq_354",444,6,2,2,1,1,1
"175","Mnov_gtseq_356",536,3,2,1,1,1,1
"176","Mnov_gtseq_357",525,3,2,1,1,1,1
"177","Mnov_gtseq_359",452,3,2,2,1,1,1
"178","Mnov_gtseq_360",458,3,2,1,1,1,1
"179","Mnov_gtseq_361",481,10,2,2,2,2,1
"180","Mnov_gtseq_363",504,3,2,1,1,1,1
"181","Mnov_gtseq_364",462,3,2,1,1,1,1
"182","Mnov_gtseq_366",538,6,2,2,1,1,1
"183","Mnov_gtseq_368",491,6,2,2,1,1,1
"184","Mnov_gtseq_37",545,10,2,2,1,1,1
"185","Mnov_gtseq_370",537,3,2,1,1,1,1
"186","Mnov_gtseq_371",488,6,2,2,1,1,1
"187","Mnov_gtseq_372",541,3,2,1,1,1,1
"188","Mnov_gtseq_373",516,3,2,1,1,1,1
"189","Mnov_gtseq_374",453,3,2,1,1,1,1
