"","LABID","Rep1","Rep2","overlapping.genos","mismatches","pct.mismatched"
"929","z0195751","z0195751.RunMS54","z0195751b.RunMS58",0,0,NA
"930","z0195751","z0195751.RunMS58","z0195751b.RunMS58",1,0,0
"931","z0040308","z0040308.GTseq.prod","z0040308.RunMS54",1,0,0
"932","z0040308","z0040308.GTseq.prod","z0040308.RunMS58",205,2,0.00975609756097561
"933","z0040308","z0040308.RunMS54","z0040308.RunMS58",1,0,0
"934","z0043668","z0043668.GTseq.prod","z0043668.RunMS54",5,0,0
"935","z0043668","z0043668.GTseq.prod","z0043668.RunMS58",167,2,0.0119760479041916
"936","z0043668","z0043668.RunMS54","z0043668.RunMS58",6,0,0
"937","z0040985","z0040985.GTseq.val","z0040985.RunMS54",4,1,0.25
"938","z0045347","z0045347.GTseq.prod","z0045347.RunMS54",3,0,0
"939","z0045347","z0045347.GTseq.prod","z0045347.RunMS58",141,1,0.00709219858156028
"940","z0045347","z0045347.RunMS54","z0045347.RunMS58",3,0,0
"941","z0195688","z0195688.GTseq.val","z0195688.RunMS54",0,0,NA
"942","z0195688","z0195688.GTseq.val","z0195688b.RunMS54",0,0,NA
"943","z0195688","z0195688.GTseq.val","z0195688.RunMS58",204,2,0.00980392156862745
"944","z0195688","z0195688.RunMS54","z0195688b.RunMS54",0,0,NA
"945","z0195688","z0195688.RunMS54","z0195688.RunMS58",0,0,NA
"946","z0195688","z0195688b.RunMS54","z0195688.RunMS58",0,0,NA
"947","z0043566","z0043566.GTseq.prod","z0043566.RunMS54",0,0,NA
"948","z0043566","z0043566.GTseq.prod","z0043566.RunMS58",206,3,0.0145631067961165
"949","z0043566","z0043566.RunMS54","z0043566.RunMS58",0,0,NA
"950","z0043819","z0043819.GTseq.prod","z0043819.RunMS54",1,0,0
"951","z0043819","z0043819.GTseq.prod","z0043819.RunMS58",178,2,0.0112359550561798
"952","z0043819","z0043819.GTseq.prod","z0043819b.RunMS58",1,0,0
"953","z0043819","z0043819.RunMS54","z0043819.RunMS58",1,0,0
"954","z0043819","z0043819.RunMS54","z0043819b.RunMS58",1,0,0
"955","z0043819","z0043819.RunMS58","z0043819b.RunMS58",1,0,0
"956","z0195655","z0195655.GTseq.val","z0195655.RunMS54",0,0,NA
"957","z0195655","z0195655.GTseq.val","z0195655b.RunMS54",0,0,NA
"958","z0195655","z0195655.GTseq.val","z0195655.RunMS58",170,2,0.0117647058823529
"959","z0195655","z0195655.RunMS54","z0195655b.RunMS54",0,0,NA
"960","z0195655","z0195655.RunMS54","z0195655.RunMS58",0,0,NA
"961","z0195655","z0195655b.RunMS54","z0195655.RunMS58",0,0,NA
"962","z0195683","z0195683.GTseq.val","z0195683.RunMS54",0,0,NA
"963","z0195683","z0195683.GTseq.val","z0195683.RunMS58",210,2,0.00952380952380952
"964","z0195683","z0195683.RunMS54","z0195683.RunMS58",0,0,NA
