"","CentAm.CA.OR.WA.SBC","HI.Al.Ber","HI.CA.OR.WA.SBC","HI.GOA","HI.SEAK.NBC","MnMx.CA.OR.WA.SBC","MnMx.SEAK.NBC","Rev.GOA","SMx.CA.OR.WA.SBC"
"CentAm.CA.OR.WA.SBC",NA,0.001001001001001,0.00301204819277108,0.001,0.001,0.001,0.001001001001001,0.0450901803607214,0.017
"HI.Al.Ber",0.00660462405045846,NA,0.163,0.374374374374374,0.018,0.002,0.056,0.233820459290188,0.001
"HI.CA.OR.WA.SBC",0.0061466930826392,0.00225686716095776,NA,0.308,0.195586760280843,0.001,0.018,0.451,0.00300902708124373
"HI.GOA",0.00527146089273071,0.000424252265188676,0.000906845509197733,NA,0.821,0.001,0.145,0.103271983640082,0.001
"HI.SEAK.NBC",0.00772744712011764,0.00316423948514315,0.00127707728802855,-0.000616727251698519,NA,0.001,0.00601805416248746,0.0120240480961924,0.001
"MnMx.CA.OR.WA.SBC",0.00183115034888255,0.00515981890728776,0.00484012987081596,0.00358781560009688,0.00564011488134577,NA,0.001,0.0720720720720721,0.049
"MnMx.SEAK.NBC",0.00900333522685792,0.00343548421025347,0.00396999690625906,0.00191731507965198,0.00417354218570848,0.00589406894789008,NA,0.00527983104540655,0.001
"Rev.GOA",0.00295548786842734,0.00149432446894381,0.000165069757674983,0.00211022899099825,0.00357206849442464,0.00190512062528016,0.00631555665818449,NA,0.038
"SMx.CA.OR.WA.SBC",0.00110843715818589,0.00524637650384096,0.00518544314115517,0.00542484045987805,0.00788139028927881,0.000705448445766557,0.00742257063447227,0.00249474310200073,NA
