"","locus","genos","num.haps"
"147","Mnov_gtseq_307",310,3
"148","Mnov_gtseq_308",362,3
"149","Mnov_gtseq_309",307,6
"150","Mnov_gtseq_310",253,3
"151","Mnov_gtseq_311",313,3
"152","Mnov_gtseq_312",325,3
"153","Mnov_gtseq_313",349,3
"154","Mnov_gtseq_314",343,3
"155","Mnov_gtseq_315",337,3
"156","Mnov_gtseq_317",36,3
"157","Mnov_gtseq_318",98,3
"158","Mnov_gtseq_320",253,3
"159","Mnov_gtseq_321",393,3
"160","Mnov_gtseq_322",321,3
"161","Mnov_gtseq_323",362,3
"162","Mnov_gtseq_324",33,2
"163","Mnov_gtseq_326",308,3
"164","Mnov_gtseq_327",313,3
"165","Mnov_gtseq_328",379,3
"166","Mnov_gtseq_33",378,3
"167","Mnov_gtseq_332",238,3
"168","Mnov_gtseq_333",201,3
"169","Mnov_gtseq_334",367,3
"170","Mnov_gtseq_335",382,3
"171","Mnov_gtseq_337",160,6
"172","Mnov_gtseq_338",313,3
"173","Mnov_gtseq_339",355,3
"174","Mnov_gtseq_340",330,3
"175","Mnov_gtseq_341",389,3
"176","Mnov_gtseq_342",53,3
"177","Mnov_gtseq_344",350,3
"178","Mnov_gtseq_345",353,3
"179","Mnov_gtseq_347",316,3
"180","Mnov_gtseq_350",98,3
"181","Mnov_gtseq_352",260,3
"182","Mnov_gtseq_353",340,3
"183","Mnov_gtseq_354",209,3
"184","Mnov_gtseq_355",70,3
"185","Mnov_gtseq_356",314,3
"186","Mnov_gtseq_357",240,3
"187","Mnov_gtseq_359",146,3
"188","Mnov_gtseq_360",246,3
"189","Mnov_gtseq_361",165,3
"190","Mnov_gtseq_363",348,3
"191","Mnov_gtseq_364",91,3
"192","Mnov_gtseq_366",268,3
"193","Mnov_gtseq_368",180,3
"194","Mnov_gtseq_37",347,3
"195","Mnov_gtseq_370",308,3
"196","Mnov_gtseq_371",217,3
"197","Mnov_gtseq_372",261,3
"198","Mnov_gtseq_373",281,3
"199","Mnov_gtseq_374",1,1
"200","Mnov_gtseq_376",329,2
"201","Mnov_gtseq_377",268,3
"202","Mnov_gtseq_378",322,3
"203","Mnov_gtseq_379",333,3
"204","Mnov_gtseq_38",377,3
"205","Mnov_gtseq_380",307,3
"206","Mnov_gtseq_383",281,3
"207","Mnov_gtseq_384",69,3
"208","Mnov_gtseq_386",190,3
"209","Mnov_gtseq_388",58,3
"210","Mnov_gtseq_39",388,3
"211","Mnov_gtseq_390",240,3
"212","Mnov_gtseq_391",65,3
"213","Mnov_gtseq_394",145,3
"214","Mnov_gtseq_397",177,3
"215","Mnov_gtseq_398",320,3
"216","Mnov_gtseq_399",344,3
"217","Mnov_gtseq_40",361,3
"218","Mnov_gtseq_400",123,3
"219","Mnov_gtseq_401",318,3
"220","Mnov_gtseq_402",303,3
"221","Mnov_gtseq_405",182,3
"222","Mnov_gtseq_406",302,3
"223","Mnov_gtseq_407",172,3
"224","Mnov_gtseq_41",321,3
"225","Mnov_gtseq_410",199,3
"226","Mnov_gtseq_413",344,2
"227","Mnov_gtseq_415",315,3
"228","Mnov_gtseq_416",266,3
"229","Mnov_gtseq_417",64,3
"230","Mnov_gtseq_42",381,3
"231","Mnov_gtseq_420",3,2
"232","Mnov_gtseq_421",99,6
"233","Mnov_gtseq_424",357,3
"234","Mnov_gtseq_426",374,2
"235","Mnov_gtseq_43",393,3
"236","Mnov_gtseq_431",288,3
"237","Mnov_gtseq_434",366,3
"238","Mnov_gtseq_438",129,3
"239","Mnov_gtseq_44",209,3
"240","Mnov_gtseq_440",301,3
"241","Mnov_gtseq_441",279,3
"242","Mnov_gtseq_442",62,3
"243","Mnov_gtseq_444",226,3
"244","Mnov_gtseq_445",112,3
"245","Mnov_gtseq_446",322,3
"246","Mnov_gtseq_447",335,3
"247","Mnov_gtseq_448",266,3
"248","Mnov_gtseq_45",348,3
"249","Mnov_gtseq_451",372,3
"250","Mnov_gtseq_452",288,3
"251","Mnov_gtseq_454",94,3
"252","Mnov_gtseq_46",349,3
"253","Mnov_gtseq_461",346,3
"254","Mnov_gtseq_462",51,3
"255","Mnov_gtseq_463",283,3
"256","Mnov_gtseq_465",58,3
"257","Mnov_gtseq_468",357,3
"258","Mnov_gtseq_47",330,3
"259","Mnov_gtseq_470",364,3
"260","Mnov_gtseq_471",148,3
"261","Mnov_gtseq_472",264,3
"262","Mnov_gtseq_473",308,3
"263","Mnov_gtseq_475",372,3
"264","Mnov_gtseq_477",0,0
"265","Mnov_gtseq_478",7,3
"266","Mnov_gtseq_479",377,3
"267","Mnov_gtseq_48",351,3
"268","Mnov_gtseq_50",369,3
"269","Mnov_gtseq_502",269,3
"270","Mnov_gtseq_504",313,3
"271","Mnov_gtseq_506",8,3
"272","Mnov_gtseq_507",329,3
"273","Mnov_gtseq_509",175,3
"274","Mnov_gtseq_51",307,3
"275","Mnov_gtseq_511",89,3
"276","Mnov_gtseq_513",93,3
"277","Mnov_gtseq_514",352,3
"278","Mnov_gtseq_515",237,3
"279","Mnov_gtseq_516",9,3
"280","Mnov_gtseq_517",268,3
"281","Mnov_gtseq_518",398,3
"282","Mnov_gtseq_520",175,3
"283","Mnov_gtseq_521",68,3
"284","Mnov_gtseq_522",319,3
"285","Mnov_gtseq_523",344,3
"286","Mnov_gtseq_526",130,4
"287","Mnov_gtseq_529",154,3
"288","Mnov_gtseq_53",348,3
"289","Mnov_gtseq_532",139,3
"290","Mnov_gtseq_533",252,3
"291","Mnov_gtseq_536",95,3
"292","Mnov_gtseq_539",231,3
"293","Mnov_gtseq_54",333,3
"294","Mnov_gtseq_541",503,3
"295","Mnov_gtseq_543",326,3
"296","Mnov_gtseq_544",338,3
"297","Mnov_gtseq_545",284,3
"298","Mnov_gtseq_546",213,3
"299","Mnov_gtseq_547",375,3
"300","Mnov_gtseq_548",315,3
"301","Mnov_gtseq_549",274,3
"302","Mnov_gtseq_55",337,3
"303","Mnov_gtseq_550",50,2
"304","Mnov_gtseq_553",116,3
"305","Mnov_gtseq_56",356,3
"306","Mnov_gtseq_57",110,3
"307","Mnov_gtseq_58",276,3
"308","Mnov_gtseq_6",327,3
"309","Mnov_gtseq_60",335,3
"310","Mnov_gtseq_61",377,3
"311","Mnov_gtseq_63",340,3
"312","Mnov_gtseq_64",368,3
"313","Mnov_gtseq_65",391,3
"314","Mnov_gtseq_66",365,4
"315","Mnov_gtseq_67",400,3
"316","Mnov_gtseq_68",317,4
"317","Mnov_gtseq_69",378,3
"318","Mnov_gtseq_70",339,3
"319","Mnov_gtseq_71",363,3
"320","Mnov_gtseq_72",391,3
"321","Mnov_gtseq_73",376,3
"322","Mnov_gtseq_74",392,3
"323","Mnov_gtseq_75",359,6
"324","Mnov_gtseq_8",308,3
"325","Mnov_gtseq_80",319,3
"326","Mnov_gtseq_81",297,3
"327","Mnov_gtseq_82",365,3
"328","Mnov_gtseq_83",368,3
"329","Mnov_gtseq_84",380,3
"330","Mnov_gtseq_86",387,3
"331","Mnov_gtseq_88",293,3
"332","Mnov_gtseq_90",382,3
"333","Mnov_gtseq_91",292,2
"334","Mnov_gtseq_92",322,3
"335","Mnov_gtseq_93",326,3
"336","Mnov_gtseq_94",337,3
"337","Mnov_gtseq_97",113,3
"338","Mnov_gtseq_98",361,3
